PrimaryKey,Icon,Level,Order,SelectionFactor,SelectionType,ItemKey,Count,LimitCount,TimeRepurchase
1811943425,ICON_MATERIAL_CURRENCY_HARDF_01,1,1,1,0,572268545,20,1,0
1811943426,ICON_MATERIAL_CURRENCY_SOFT_01,1,2,1,0,572272641,1000,2,600000
1811943427,ICON_MATERIAL_TOKEN_NORMALWEAPON_01,1,3,1,0,572198913,10,2,1200000
1811943428,ICON_MATERIAL_TOKEN_MATERIAL_01,1,4,1,0,572207105,10,2,900000
1811943429,ICON_MATERIAL_MATERIAL_PISTOL_01,1,5,1,0,572329985,10,2,600000
1811943430,ICON_MATERIAL_MATERIAL_AR_01,1,6,1,0,572338177,10,2,600000
1811943431,ICON_MATERIAL_MATERIAL_GRENADE_01,1,7,1,0,572354561,10,2,600000
1811943432,ICON_MATERIAL_MATERIAL_SG_01,1,8,1,0,572350465,10,2,600000
1811943433,ICON_MATERIAL_MATERIAL_SR_01,1,9,1,0,572346369,10,2,600000
1811943434,ICON_MATERIAL_ETC_TICKET_01,1,10,1,0,572461057,1,1,0
1811980289,ICON_MATERIAL_CURRENCY_HARDF_01,10,1,1,0,572268545,20,1,0
1811980290,ICON_MATERIAL_CURRENCY_SOFT_01,10,2,1,0,572272641,1000,2,600000
1811980291,ICON_MATERIAL_TOKEN_NORMALWEAPON_01,10,3,1,0,572198913,10,2,1200000
1811980292,ICON_MATERIAL_TOKEN_MATERIAL_01,10,4,1,0,572207105,10,2,900000
1811980293,ICON_MATERIAL_MATERIAL_PISTOL_01,10,5,1,0,572329985,10,2,600000
1811980294,ICON_MATERIAL_MATERIAL_AR_01,10,6,1,0,572338177,10,2,600000
1811980295,ICON_MATERIAL_MATERIAL_GRENADE_01,10,7,1,0,572354561,10,2,600000
1811980296,ICON_MATERIAL_MATERIAL_SG_01,10,8,1,0,572350465,10,2,600000
1811980297,ICON_MATERIAL_MATERIAL_SR_01,10,9,1,0,572346369,10,2,600000
1811980298,ICON_MATERIAL_ETC_TICKET_01,10,10,1,0,572461057,1,1,0
1811980299,ICON_MATERIAL_CURRENCY_TOOL_01,10,11,1,0,572284929,1,1,0
1811980300,ICON_MATERIAL_MATERIALG_HEAD_01,10,12,1,0,572067841,10,2,600000
1811980301,ICON_MATERIAL_MATERIALG_UPPER_01,10,13,1,0,572071937,10,2,600000
1811980302,ICON_MATERIAL_MATERIALG_HANDS_01,10,14,1,0,572076033,10,2,600000
1811980303,ICON_MATERIAL_MATERIALG_LOWER_01,10,15,1,0,572080129,10,2,600000
1811980304,ICON_MATERIAL_CURRENCY_PMATERIAL_01,10,16,1,0,572289025,1,1,0
