PrimaryKey,Type,Group,Theme,Order,LimitTime,RewardExp,RewardPassExp,RewardBattlePassExp,BonusBuffGroup,MaxCountRevive,ReviveItemKey,ReviveItemCount,StandardNPCLevel,TargetPoint
931135489,8,0,1,1,300000,30,10,10,61457,5,572268545,50,150,100
931135490,8,0,1,2,300000,30,10,10,61457,5,572268545,50,160,100
931135491,8,0,1,3,300000,30,10,10,61457,5,572268545,50,170,100
931135492,8,0,1,4,300000,30,10,10,61457,5,572268545,50,180,100
931135493,8,0,1,5,300000,30,10,10,61457,5,572268545,50,190,100
931135494,8,0,1,6,300000,30,10,10,61458,5,572268545,50,290,100
931135495,8,0,1,7,300000,30,10,10,61458,5,572268545,50,300,100
931135496,8,0,1,8,300000,30,10,10,61458,5,572268545,50,310,100
931135497,8,0,1,9,300000,30,10,10,61458,5,572268545,50,320,100
931135498,8,0,1,10,300000,30,10,10,61458,5,572268545,50,330,100
931135499,8,0,1,11,300000,30,10,10,61459,5,572268545,50,430,100
931135500,8,0,1,12,300000,30,10,10,61459,5,572268545,50,450,100
931135501,8,0,1,13,300000,30,10,10,61459,5,572268545,50,470,100
931135502,8,0,1,14,300000,30,10,10,61459,5,572268545,50,490,100
931135503,8,0,1,15,300000,30,10,10,61459,5,572268545,50,510,100
931135504,8,0,1,16,300000,30,10,10,61460,5,572268545,50,660,100
931135505,8,0,1,17,300000,30,10,10,61460,5,572268545,50,710,100
931135506,8,0,1,18,300000,30,10,10,61460,5,572268545,50,760,100
931135507,8,0,1,19,300000,30,10,10,61460,5,572268545,50,810,100
931135508,8,0,1,20,300000,30,10,10,61460,5,572268545,50,860,100
931135509,8,0,1,21,300000,30,10,10,61461,5,572268545,50,1010,100
931135510,8,0,1,22,300000,30,10,10,61461,5,572268545,50,1060,100
931135511,8,0,1,23,300000,30,10,10,61461,5,572268545,50,1110,100
931135512,8,0,1,24,300000,30,10,10,61461,5,572268545,50,1160,100
931135513,8,0,1,25,300000,30,10,10,61461,5,572268545,50,1210,100
931135745,8,1,2,1,300000,30,10,10,61457,5,572268545,50,150,100
931135746,8,1,2,2,300000,30,10,10,61457,5,572268545,50,160,100
931135747,8,1,2,3,300000,30,10,10,61457,5,572268545,50,170,100
931135748,8,1,2,4,300000,30,10,10,61457,5,572268545,50,180,100
931135749,8,1,2,5,300000,30,10,10,61457,5,572268545,50,190,100
931135750,8,1,2,6,300000,30,10,10,61458,5,572268545,50,290,100
931135751,8,1,2,7,300000,30,10,10,61458,5,572268545,50,300,100
931135752,8,1,2,8,300000,30,10,10,61458,5,572268545,50,310,100
931135753,8,1,2,9,300000,30,10,10,61458,5,572268545,50,320,100
931135754,8,1,2,10,300000,30,10,10,61458,5,572268545,50,330,100
931135755,8,1,2,11,300000,30,10,10,61459,5,572268545,50,430,100
931135756,8,1,2,12,300000,30,10,10,61459,5,572268545,50,450,100
931135757,8,1,2,13,300000,30,10,10,61459,5,572268545,50,470,100
931135758,8,1,2,14,300000,30,10,10,61459,5,572268545,50,490,100
931135759,8,1,2,15,300000,30,10,10,61459,5,572268545,50,510,100
931135760,8,1,2,16,300000,30,10,10,61460,5,572268545,50,660,100
931135761,8,1,2,17,300000,30,10,10,61460,5,572268545,50,710,100
931135762,8,1,2,18,300000,30,10,10,61460,5,572268545,50,760,100
931135763,8,1,2,19,300000,30,10,10,61460,5,572268545,50,810,100
931135764,8,1,2,20,300000,30,10,10,61460,5,572268545,50,860,100
931135765,8,1,2,21,300000,30,10,10,61461,5,572268545,50,1010,100
931135766,8,1,2,22,300000,30,10,10,61461,5,572268545,50,1060,100
931135767,8,1,2,23,300000,30,10,10,61461,5,572268545,50,1110,100
931135768,8,1,2,24,300000,30,10,10,61461,5,572268545,50,1160,100
931135769,8,1,2,25,300000,30,10,10,61461,5,572268545,50,1210,100
