PrimaryKey,Lv,Exp,HP,DP,RewardCharacterKey,RewardWeaponKey,RewardItemKey00,RewardItemCount00,RewardItemKey01,RewardItemCount01,RewardItemKey02,RewardItemCount02,RewardItemKey03,RewardItemCount03,RewardItemKey04,RewardItemCount04,RewardItemKey05,RewardItemCount05,RewardItemKey06,RewardItemCount06,RewardItemKey07,RewardItemCount07,StandardNPCLevel,TargetQuestPoint,QuestRewardsKey00,QuestRewardsCount00,QuestRewardsKey01,QuestRewardsCount01,BonusTargetPoint,Standard,BonusMaintain,BonusChapterMaintain
16777217,1,30,100,3,286523648,537989121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120,572198913,10,572203009,10,120,5,1800000,60000
16777218,2,42,150,7,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,5,120,572198913,10,572203009,10,120,5,1800000,60000
16777219,3,55,200,11,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,10,120,572198913,10,572203009,10,120,10,1800000,60000
16777220,4,67,250,14,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,20,120,572198913,10,572203009,10,120,20,1800000,60000
16777221,5,78,300,18,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,30,120,572198913,10,572203009,10,120,30,1800000,60000
16777222,6,90,350,22,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,35,120,572198913,10,572203009,10,120,35,1800000,60000
16777223,7,101,400,25,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,50,120,572198913,10,572203009,10,120,50,1800000,60000
16777224,8,112,450,29,0,0,572268545,5,572272641,500,572469250,2,0,0,0,0,0,0,0,0,0,0,60,120,572198913,10,572203009,10,120,60,1800000,60000
16777225,9,123,500,33,0,0,572268545,5,572272641,5000,572289025,5,0,0,0,0,0,0,0,0,0,0,75,120,572198913,10,572203009,10,120,75,1800000,60000
16777226,10,134,550,37,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,85,120,572198913,10,572203009,10,120,85,1800000,60000
