PrimaryKey,Lv,Exp,NormalRewardItemKey,NormalRewardItemCount,EliteRewardItemKey,EliteRewardItemCount,PlusRewardItemKey,PlusRewardItemCount,SkipItemKey,SkipItemCount
50331649,1,40,572272641,1000,572272641,3000,572272641,5000,572268545,50
50331650,2,40,605949969,1,606998545,1,608047121,1,572268545,50
50331651,3,40,572461057,1,572284929,3,572329985,100,572268545,50
50331652,4,40,572289025,5,572346369,50,572268545,100,572268545,50
50331653,5,40,572268545,10,572461057,3,572346369,100,572268545,50
50331654,6,50,572198913,15,572350465,50,572203009,5,572268545,75
50331655,7,50,572329985,20,572272641,5000,572289025,20,572268545,75
50331656,8,50,572284929,1,572268545,100,572354561,100,572268545,75
50331657,9,50,572350465,20,572329985,50,572284929,5,572268545,75
50331658,10,50,605974545,1,607023121,1,608071713,1,572268545,75
50331659,11,60,572272641,1500,572289025,10,572350465,100,572268545,100
50331660,12,60,572207105,15,572354561,50,572268545,200,572268545,100
50331661,13,60,572338177,20,572268545,100,572272641,8000,572268545,100
50331662,14,60,572461057,1,572198913,50,572338177,100,572268545,100
50331663,15,60,572329985,20,572346369,50,572329985,100,572268545,100
50331664,16,70,572198913,20,572461057,3,572207105,50,572268545,125
50331665,17,70,572346369,20,572207105,50,572354561,100,572268545,125
50331666,18,70,572268545,30,572350465,50,572284929,5,572268545,125
50331667,19,70,572289025,10,572284929,3,572461057,5,572268545,125
50331668,20,70,605974561,1,607023137,1,608071729,1,572268545,125
50331669,21,80,572354561,20,572272641,10000,572461057,50,572268545,150
50331670,22,80,572350465,20,572268545,100,572338177,100,572268545,150
50331671,23,80,572338177,20,572338177,50,572207105,50,572268545,150
50331672,24,80,572272641,3000,572203009,100,572346369,100,572268545,150
50331673,25,80,572284929,1,572329985,50,572268545,200,572268545,150
50331674,26,100,572207105,20,572207105,100,572350465,100,572268545,200
50331675,27,100,572268545,50,572354561,50,572272641,15000,572268545,200
50331676,28,100,572354561,20,572289025,15,572203009,50,572268545,200
50331677,29,100,572346369,20,572338177,50,572289025,30,572268545,200
50331678,30,100,608047121,1,608051233,1,609099809,1,572268545,200
