PrimaryKey,NameKey,DescKey,Type,SubType,Grade,Level,AbleToBoost,AbleToBoostFree,AbleToADOpen,BoostTutorial,Prefeb,icon,OpenTime,OpenMaterialKey,OpenMaterialCount,RewardGroup
605978641,1879048262,1895825478,14,8,1,1,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794193
605978658,1879048262,1895825478,14,8,1,2,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794209
605978675,1879048262,1895825478,14,8,1,3,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794225
605978692,1879048262,1895825478,14,8,1,4,2,2,2,1,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794241
605978709,1879048262,1895825478,14,8,1,5,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794257
605978726,1879048262,1895825478,14,8,1,6,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794273
605978743,1879048262,1895825478,14,8,1,7,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,1,572264449,0,15794289
605978760,1879048262,1895825478,14,8,1,8,2,1,2,1,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,1,572264449,0,15794305
605949969,1879048263,1895825479,14,1,1,1,1,2,1,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,600000,572264449,25,10551313
606998545,1879048264,1895825480,14,1,2,1,1,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,1800000,572264449,100,10616849
608047121,1879048265,1895825481,14,1,3,1,1,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,7200000,572264449,200,10682385
609095697,1879048266,1895825482,14,1,4,1,2,2,2,0,BOX_NORMAL_G4_01,ICON_BOX_NORMAL_G4_01,28800000,572264449,500,10747921
605949970,1879048661,1895825783,14,1,1,1,1,2,1,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,600000,572264449,25,10551314
606998546,1879048662,1895825784,14,1,2,1,1,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,1800000,572264449,100,10616850
608047122,1879048663,1895825785,14,1,3,1,1,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,7200000,572264449,200,10682386
609095698,1879048664,1895825786,14,1,4,1,2,2,2,0,BOX_NORMAL_G4_01,ICON_BOX_NORMAL_G4_01,28800000,572264449,500,10747922
605949971,1879048665,1895825787,14,1,1,1,1,2,1,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,600000,572264449,25,10551315
606998547,1879048666,1895825788,14,1,2,1,1,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,1800000,572264449,100,10616851
608047123,1879048667,1895825789,14,1,3,1,1,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,7200000,572264449,200,10682387
609095699,1879048668,1895825790,14,1,4,1,2,2,2,0,BOX_NORMAL_G4_01,ICON_BOX_NORMAL_G4_01,28800000,572264449,500,10747923
605949972,1879048669,1895825791,14,1,1,1,1,2,1,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,600000,572264449,25,10551316
606998548,1879048670,1895825792,14,1,2,1,1,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,1800000,572264449,100,10616852
608047124,1879048671,1895825793,14,1,3,1,1,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,7200000,572264449,200,10682388
609095700,1879048672,1895825794,14,1,4,1,2,2,2,0,BOX_NORMAL_G4_01,ICON_BOX_NORMAL_G4_01,28800000,572264449,500,10747924
605949985,1879048638,1895825777,14,1,1,2,2,2,2,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,,572264449,0,10551329
606998562,1879048639,1895825778,14,1,2,2,2,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,,572264449,0,10616865
608047139,1879048640,1895825779,14,1,3,2,2,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,,572264449,0,10682401
609095716,1879048641,1895825780,14,1,4,2,2,2,2,0,BOX_NORMAL_G4_01,ICON_BOX_NORMAL_G4_01,,572264449,0,10747937
605954065,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599889
605954066,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599890
605954067,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599891
605954068,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599892
605954069,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599893
605954070,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599894
605954071,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599895
605954072,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599896
605954073,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599897
605954074,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599898
605954075,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599899
605954076,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599900
605954077,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599901
605954078,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599902
605954079,1879048267,1895825483,14,2,1,1,2,2,2,0,BOX_WEAPON_G1_01,ICON_BOX_WEAPON_G1_01,,572264449,0,11599903
610148369,1879048677,1895825799,14,2,5,1,2,2,2,0,BOX_WEAPON_G5_01,ICON_BOX_WEAPON_G5_01,,572264449,0,11862033
610148370,1879048677,1895825799,14,2,5,1,2,2,2,0,BOX_WEAPON_G5_01,ICON_BOX_WEAPON_G5_01,,572264449,0,11862034
610148371,1879048677,1895825799,14,2,5,1,2,2,2,0,BOX_WEAPON_G5_01,ICON_BOX_WEAPON_G5_01,,572264449,0,11862035
610148372,1879048677,1895825799,14,2,5,1,2,2,2,0,BOX_WEAPON_G5_01,ICON_BOX_WEAPON_G5_01,,572264449,0,11862036
610148373,1879048677,1895825799,14,2,5,1,2,2,2,0,BOX_WEAPON_G5_01,ICON_BOX_WEAPON_G5_01,,572264449,0,11862037
605974545,1879048268,1895825484,14,7,1,1,2,2,2,0,BOX_MATERAL_G1_01,ICON_BOX_MATERAL_G1_01,,572264449,0,9502737
607023121,1879048269,1895825485,14,7,2,1,2,2,2,0,BOX_MATERAL_G2_01,ICON_BOX_MATERAL_G2_01,,572264449,0,9568273
605954081,1879048586,1895825731,14,2,1,2,2,2,2,0,BOX_WEAPON_G1_02,ICON_BOX_WEAPON_G1_02,,572264449,0,11599905
607002657,1879048587,1895825732,14,2,2,2,2,2,2,0,BOX_WEAPON_G2_02,ICON_BOX_WEAPON_G2_02,,572264449,0,11665442
608051233,1879048588,1895825733,14,2,3,2,2,2,2,0,BOX_WEAPON_G3_02,ICON_BOX_WEAPON_G3_02,,572264449,0,11730979
609099809,1879048589,1895825734,14,2,4,2,2,2,2,0,BOX_WEAPON_G4_02,ICON_BOX_WEAPON_G4_02,,572264449,0,11796516
605958161,1879048599,1895825744,14,3,1,1,2,2,2,0,BOX_GEAR_G1_01,ICON_BOX_GEAR_G1_01,,572264449,0,12648465
607006737,1879048600,1895825745,14,3,2,1,2,2,2,0,BOX_GEAR_G2_01,ICON_BOX_GEAR_G2_01,,572264449,0,12714002
608055313,1879048601,1895825746,14,3,3,1,2,2,2,0,BOX_GEAR_G3_01,ICON_BOX_GEAR_G3_01,,572264449,0,12779539
609103889,1879048602,1895825747,14,3,4,1,2,2,2,0,BOX_GEAR_G4_01,ICON_BOX_GEAR_G4_01,,572264449,0,12845076
605974561,1879048590,1895825735,14,7,1,2,2,2,2,0,BOX_MATERAL_G1_02,ICON_BOX_MATERAL_G1_02,,572264449,0,9502753
607023137,1879048591,1895825736,14,7,2,2,2,2,2,0,BOX_MATERAL_G2_02,ICON_BOX_MATERAL_G2_02,,572264449,0,9568290
608071713,1879048592,1895825737,14,7,3,2,2,2,2,0,BOX_MATERAL_G3_02,ICON_BOX_MATERAL_G3_02,,572264449,0,9633827
605974577,1879048593,1895825738,14,7,1,3,2,2,2,0,BOX_MATERAL_G1_03,ICON_BOX_MATERAL_G1_03,,572264449,0,9502769
607023153,1879048594,1895825739,14,7,2,3,2,2,2,0,BOX_MATERAL_G2_03,ICON_BOX_MATERAL_G2_03,,572264449,0,9568306
608071729,1879048595,1895825740,14,7,3,3,2,2,2,0,BOX_MATERAL_G3_03,ICON_BOX_MATERAL_G3_03,,572264449,0,9633843
605974593,1879048596,1895825741,14,7,1,4,2,2,2,0,BOX_MATERAL_G1_04,ICON_BOX_MATERAL_G1_04,,572264449,0,9502785
607023169,1879048597,1895825742,14,7,2,4,2,2,2,0,BOX_MATERAL_G2_04,ICON_BOX_MATERAL_G2_04,,572264449,0,9568322
608071745,1879048598,1895825743,14,7,3,4,2,2,2,0,BOX_MATERAL_G3_04,ICON_BOX_MATERAL_G3_04,,572264449,0,9633859
606007313,1879048622,1895825761,14,15,1,1,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,,572264449,0,7405585
606007314,1879048623,1895825762,14,15,1,1,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,,572264449,0,7405586
606007315,1879048624,1895825763,14,15,1,1,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,,572264449,0,7405587
607055905,1879048625,1895825764,14,15,2,2,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,,572264449,0,7471137
607055906,1879048626,1895825765,14,15,2,2,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,,572264449,0,7471138
607055907,1879048627,1895825766,14,15,2,2,2,2,2,0,BOX_TUTORIAL_G1_01,ICON_BOX_TUTORIAL_G1_01,,572264449,0,7471139
608104497,1879048628,1895825767,14,15,3,3,2,2,2,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,,572264449,0,7536689
608104498,1879048629,1895825768,14,15,3,3,2,2,2,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,,572264449,0,7536690
608104499,1879048630,1895825769,14,15,3,3,2,2,2,0,BOX_NORMAL_G1_01,ICON_BOX_NORMAL_G1_01,,572264449,0,7536691
609153089,1879048631,1895825770,14,15,4,4,2,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,,572264449,0,7602241
609153090,1879048632,1895825771,14,15,4,4,2,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,,572264449,0,7602242
609153091,1879048633,1895825772,14,15,4,4,2,2,2,0,BOX_NORMAL_G2_01,ICON_BOX_NORMAL_G2_01,,572264449,0,7602243
610201681,1879048634,1895825773,14,15,5,5,2,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,,572264449,0,7667793
610201682,1879048635,1895825774,14,15,5,5,2,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,,572264449,0,7667794
610201683,1879048636,1895825775,14,15,5,5,2,2,2,0,BOX_NORMAL_G3_01,ICON_BOX_NORMAL_G3_01,,572264449,0,7667795
611250273,1879048637,1895825776,14,15,6,6,2,2,2,0,BOX_NORMAL_G4_01,ICON_BOX_NORMAL_G4_01,,572264449,0,7733345
