PrimaryKey,Group,Type,Order,SelectionFactor,BoxKey,CostItemKey,CostItemCount,CostTokenKey,CostTokenCount,CostResetKey,CostResetStandardCount,CostResetAdditionalCount,PercentageSymbol,Percentage0,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,Percentage6
1660944385,0,1,1,1,605954065,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944386,0,1,2,1,605954066,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944387,0,1,3,1,605954067,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944388,0,1,4,1,605954068,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944389,0,1,5,1,605954069,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944390,0,1,6,1,605954070,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944391,0,1,7,1,605954071,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944392,0,1,8,1,605954072,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944393,0,1,9,1,605954073,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944394,0,1,10,1,605954074,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944395,0,1,11,1,605954075,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944396,0,1,12,1,605954076,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944397,0,1,13,1,605954077,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944398,0,1,14,1,605954078,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1660944399,0,1,15,1,605954079,572268545,100,572198913,100,572268545,20,20,0.03,0.73,0.183,0.046,0.011,0,0,0
1661992976,1,1,1,1,605974545,572268545,120,572207105,100,572268545,20,20,0,0,0,0,0,0,0,0
1663041553,2,1,1,1,607023121,572268545,250,572207105,150,572268545,20,20,,0.79,0.16,0.05,0,0,0,0
1664090130,3,3,1,1,610148369,572268545,600,572203009,100,572268545,20,20,0.02,,,0.922,0.058,0,0,0
1664090131,3,3,2,1,610148370,572268545,600,572203009,100,572268545,20,20,0.02,,,0.922,0.058,0,0,0
1664090132,3,3,3,1,610148371,572268545,600,572203009,100,572268545,20,20,0.02,,,0.922,0.058,0,0,0
1664090133,3,3,4,1,610148372,572268545,600,572203009,100,572268545,20,20,0.02,,,0.922,0.058,0,0,0
1664090134,3,3,5,1,610148373,572268545,600,572203009,100,572268545,20,20,0.02,,,0.922,0.058,0,0,0
