PrimaryKey,NameKey,DescKey,RewardExp,RewardPassExp,MaxCountRevive,ReviveItemKey,ReviveItemCount,Episode,Order,Type,StandardLevel,RewardGroup,RewardItemKey,RewardItemCount
823132161,1879048285,1895825501,15,0,20,572268545,0,0,1,1,5,1114129,0,0
823132417,1879048286,1895825502,15,0,20,572268545,0,1,1,1,5,1114129,0,0
823132418,1879048287,1895825503,15,0,20,572268545,0,1,2,1,5,1114145,0,0
823132419,1879048288,1895825504,15,0,20,572268545,0,1,3,1,5,1114161,0,0
823132420,1879048289,1895825505,20,0,20,572268545,0,1,4,1,5,1114177,538124289,1
823132673,1879048294,1895825510,20,0,5,572268545,20,2,1,1,10,1114193,0,0
823132674,1879048295,1895825511,20,0,5,572268545,20,2,2,1,10,1114209,0,0
823132675,1879048296,1895825512,20,0,5,572268545,20,2,3,1,15,1114225,0,0
823132676,1879048297,1895825513,20,0,5,572268545,20,2,4,1,15,1114241,538382337,1
823132929,1879048302,1895825518,20,0,5,572268545,20,3,1,1,20,1114289,0,0
823132930,1879048303,1895825519,20,0,5,572268545,20,3,2,1,20,1114289,0,0
823132931,1879048304,1895825520,20,0,5,572268545,20,3,3,1,25,1114289,0,0
823132932,1879048305,1895825521,20,0,5,572268545,20,3,4,1,25,1114305,538251265,1
823133185,1879048310,1895825526,20,0,5,572268545,20,4,1,1,30,1114321,0,0
823133186,1879048311,1895825527,20,0,5,572268545,20,4,2,1,30,1114321,0,0
823133187,1879048312,1895825528,20,0,5,572268545,20,4,3,1,35,1114321,0,0
823133188,1879048313,1895825529,40,0,5,572268545,20,4,4,1,35,1114337,538316801,1
823133441,1879048318,1895825534,25,10,5,572268545,20,5,1,1,45,1114353,0,0
823133442,1879048319,1895825535,25,10,5,572268545,20,5,2,1,45,1114353,0,0
823133443,1879048320,1895825536,25,10,5,572268545,20,5,3,1,50,1114353,0,0
823133444,1879048321,1895825537,25,10,5,572268545,20,5,4,1,50,1114353,0,0
823133445,1879048322,1895825538,25,10,5,572268545,20,5,5,1,55,1114353,0,0
823133446,1879048323,1895825539,25,10,5,572268545,20,5,6,1,55,1114353,0,0
823133447,1879048324,1895825540,25,20,5,572268545,20,5,7,1,60,1114369,0,0
823133448,1879048325,1895825541,50,20,5,572268545,20,5,8,1,60,1114369,575938562,20
823133697,1879048326,1895825542,30,10,5,572268545,20,6,1,1,70,1114353,0,0
823133698,1879048327,1895825543,30,10,5,572268545,20,6,2,1,70,1114353,0,0
823133699,1879048328,1895825544,30,10,5,572268545,20,6,3,1,75,1114353,0,0
823133700,1879048329,1895825545,30,10,5,572268545,20,6,4,1,75,1114353,588320769,1
823133701,1879048330,1895825546,30,10,5,572268545,20,6,5,1,80,1114353,0,0
823133702,1879048331,1895825547,30,10,5,572268545,20,6,6,1,80,1114353,0,0
823133703,1879048332,1895825548,30,20,5,572268545,20,6,7,1,85,1114369,0,0
823133704,1879048333,1895825549,60,20,5,572268545,20,6,8,1,85,1114369,571785471,20
823133953,1879048334,1895825550,35,10,5,572268545,20,7,1,1,100,1114353,0,0
823133954,1879048335,1895825551,35,10,5,572268545,20,7,2,1,100,1114353,0,0
823133955,1879048336,1895825552,35,10,5,572268545,20,7,3,1,105,1114353,0,0
823133956,1879048337,1895825553,35,10,5,572268545,20,7,4,1,105,1114353,588386305,1
823133957,1879048338,1895825554,35,10,5,572268545,20,7,5,1,110,1114353,0,0
823133958,1879048339,1895825555,35,10,5,572268545,20,7,6,1,110,1114353,0,0
823133959,1879048340,1895825556,35,20,5,572268545,20,7,7,1,115,1114369,0,0
823133960,1879048341,1895825557,70,20,5,572268545,20,7,8,1,115,1114369,571785471,20
823134209,1879048342,1895825558,40,10,5,572268545,20,8,1,1,135,1114353,0,0
823134210,1879048343,1895825559,40,10,5,572268545,20,8,2,1,135,1114353,0,0
823134211,1879048344,1895825560,40,10,5,572268545,20,8,3,1,140,1114353,0,0
823134212,1879048345,1895825561,40,10,5,572268545,20,8,4,1,140,1114353,588451841,1
823134213,1879048346,1895825562,40,10,5,572268545,20,8,5,1,145,1114353,0,0
823134214,1879048347,1895825563,40,10,5,572268545,20,8,6,1,145,1114353,0,0
823134215,1879048348,1895825564,40,20,5,572268545,20,8,7,1,150,1114369,0,0
823134216,1879048349,1895825565,80,20,5,572268545,20,8,8,1,150,1114369,572838143,20
823134465,1879048350,1895825566,45,10,5,572268545,20,9,1,1,180,1114353,0,0
823134466,1879048351,1895825567,45,10,5,572268545,20,9,2,1,180,1114353,0,0
823134467,1879048352,1895825568,45,10,5,572268545,20,9,3,1,185,1114353,0,0
823134468,1879048353,1895825569,45,10,5,572268545,20,9,4,1,185,1114353,588517377,1
823134469,1879048354,1895825570,45,10,5,572268545,20,9,5,1,190,1114353,0,0
823134470,1879048355,1895825571,45,10,5,572268545,20,9,6,1,190,1114353,0,0
823134471,1879048356,1895825572,45,20,5,572268545,20,9,7,1,195,1114369,0,0
823134472,1879048357,1895825573,90,20,5,572268545,20,9,8,1,195,1114369,572838143,20
823134721,1879048358,1895825574,50,10,5,572268545,20,10,1,1,235,1114353,0,0
823134722,1879048359,1895825575,50,10,5,572268545,20,10,2,1,235,1114353,0,0
823134723,1879048360,1895825576,50,10,5,572268545,20,10,3,1,240,1114353,0,0
823134724,1879048361,1895825577,50,10,5,572268545,20,10,4,1,240,1114353,572838143,20
823134725,1879048362,1895825578,50,10,5,572268545,20,10,5,1,245,1114353,0,0
823134726,1879048363,1895825579,50,10,5,572268545,20,10,6,1,245,1114353,0,0
823134727,1879048364,1895825580,50,20,5,572268545,20,10,7,1,250,1114369,0,0
823134728,1879048365,1895825581,100,20,5,572268545,20,10,8,1,250,1114369,0,0
823134977,1879048366,1895825582,50,10,5,572268545,20,11,1,1,295,1114353,575942659,20
823134978,1879048367,1895825583,50,10,5,572268545,20,11,2,1,300,1114353,0,0
823134979,1879048368,1895825584,50,10,5,572268545,20,11,3,1,305,1114353,0,0
823134980,1879048369,1895825585,50,10,5,572268545,20,11,4,1,310,1114353,0,0
823134981,1879048370,1895825586,50,10,5,572268545,20,11,5,1,315,1114353,0,0
823134982,1879048371,1895825587,50,10,5,572268545,20,11,6,1,320,1114353,0,0
823134983,1879048372,1895825588,50,10,5,572268545,20,11,7,1,325,1114353,0,0
823134984,1879048373,1895825589,100,20,5,572268545,20,11,8,1,330,1114369,0,0
823135233,1879048374,1895825590,50,10,5,572268545,20,12,1,1,380,1114353,0,0
823135234,1879048375,1895825591,50,10,5,572268545,20,12,2,1,385,1114353,0,0
823135235,1879048376,1895825592,50,10,5,572268545,20,12,3,1,390,1114353,0,0
823135236,1879048377,1895825593,50,10,5,572268545,20,12,4,1,395,1114353,0,0
823135237,1879048378,1895825594,50,10,5,572268545,20,12,5,1,400,1114353,0,0
823135238,1879048379,1895825595,50,10,5,572268545,20,12,6,1,405,1114353,0,0
823135239,1879048380,1895825596,50,10,5,572268545,20,12,7,1,410,1114353,0,0
823135240,1879048381,1895825597,100,20,5,572268545,20,12,8,1,415,1114369,0,0
823135489,1879048382,1895825598,50,10,5,572268545,20,13,1,1,470,1114353,0,0
823135490,1879048383,1895825599,50,10,5,572268545,20,13,2,1,475,1114353,0,0
