PrimaryKey,CharacterKey,Lv,RequireItemKey00,RequireItemCount00,RequireItemKey01,RequireItemCount01,HP,DP,MoveSpeed
402718721,286523648,1,571785471,100,572272641,1000,150,1,11
402718722,286523648,2,571785471,100,572272641,1000,225,3,11
402718723,286523648,3,571785471,100,572272641,1000,300,5,11
402718724,286523648,4,571785471,100,572272641,1000,375,6,11
402718725,286523648,5,571785471,100,572272641,1000,450,8,11
402718726,286523648,6,571785471,100,572272641,1000,525,10,11
402718727,286523648,7,571785471,100,572272641,1000,600,11,11
402718728,286523648,8,571785471,100,572272641,1000,675,13,11
402718729,286523648,9,571785471,100,572272641,1000,750,15,11
402718730,286523648,10,571785471,100,572272641,1000,825,17,11
402718731,286523648,11,571785471,100,572272641,1000,900,18,11
402718732,286523648,12,571785471,100,572272641,1000,975,20,11
402718733,286523648,13,571785471,100,572272641,1000,1050,22,11
402718734,286523648,14,571785471,100,572272641,1000,1125,23,11
402718735,286523648,15,571785471,150,572272641,5000,1200,25,11
402718736,286523648,16,572838143,150,572272641,5000,1275,27,11
402718737,286523648,17,572838143,150,572272641,5000,1350,29,11
402718738,286523648,18,572838143,150,572272641,5000,1425,30,11
402718739,286523648,19,572838143,150,572272641,5000,1500,32,11
402718740,286523648,20,572838143,150,572272641,5000,1575,34,11
402718741,286523648,21,572838143,150,572272641,5000,1650,35,11
402718742,286523648,22,572838143,150,572272641,5000,1725,37,11
402718743,286523648,23,572838143,150,572272641,5000,1800,39,11
402718744,286523648,24,572838143,150,572272641,5000,1875,41,11
402718745,286523648,25,572838143,150,572272641,5000,1950,42,11
402718746,286523648,26,572838143,150,572272641,5000,2025,44,11
402718747,286523648,27,572838143,150,572272641,5000,2100,46,11
402718748,286523648,28,572838143,150,572272641,5000,2175,47,11
402718749,286523648,29,572838143,150,572272641,5000,2250,49,11
402718750,286523648,30,572838143,200,572272641,15000,2325,51,11
402718751,286523648,31,573890815,200,572272641,15000,2400,53,11
402718752,286523648,32,573890815,200,572272641,15000,2475,54,11
402718753,286523648,33,573890815,200,572272641,15000,2550,56,11
402718754,286523648,34,573890815,200,572272641,15000,2625,58,11
402718755,286523648,35,573890815,200,572272641,15000,2700,59,11
