PrimaryKey,Korea,English,Japanese,Chinese,German,Spanish,Portuguese,French,Italian,Dutch,Russian,Hungarian,Greek,Turkish,Vietnamese,Malay,Indonesian
1930428417,재활용,Recycle,リサイクル,回收,Recyceln,Reciclar,Reciclar,Recycler,Riciclare,Recyclen,Перерабатывать,Újrahasznosít,Ανακυκλωνω,Geri dönüştürmek,Tái chế,Kitar semula,Daur ulang
1930428418,재활용 ( 무기 ),Recycle (Weapon),リサイクル（武器）,回收（武器）,Recyceln (Waffe),Reciclar (arma),Reciclagem (arma),Recycler (arme),Riciclo (arma),Recycle (wapen),Переработка (оружие),Újrahasznosítás (fegyver),Ανακύκλωση (όπλο),Geri Dönüşüm (Silah),Tái chế (vũ khí),Kitar semula (Senjata),Daur ulang (senjata)
1930428419,재활용 ( 장비 ),RecyclE (Gear),リサイクル（ギア）,回收（齿轮）,Recyceln (Zahnrad),Reciclar (engranaje),Reciclagem (engrenagem),Recycler (équipement),Riciclo (attrezzatura),Recycle (versnelling),Переработка (передача),Újrahasznosítás (felszerelés),Ανακύκλωση (εργαλεία),Geri Dönüşüm (dişli),Tái chế (thiết bị),Kitar semula (gear),Daur ulang (gigi)
1930428420,전투,Battle,戦い,战斗,Schlacht,Batalla,Batalha,Bataille,Battaglia,Strijd,Боевой,Csata,Μάχη,Savaş,Trận đánh,Pertempuran,Pertarungan
1930428421,상자,Box Open,ボックスが開いています,盒子打开,Box öffnen,Abierta,Caixa aberta,Boîte ouverte,Scatola aperta,Box Open,Коробка открыта,Nyitott doboz,Ανοιχτό κουτί,Kutu açık,Hộp mở,Kotak terbuka,Kotak terbuka
1930428422,상자 ( 게임 플레이 ),Box ( inplay ),box（inplay）,盒子（游戏）,Box (Inplay),Box (In -Play),Caixa (inplay),Box (inlate),Box (inplay),Box (inspel),Коробка (Inplay),Box (inplay),Κουτί (inplay),Kutu (şaşkınlık),Hộp (Inlay),Kotak (inplay),Kotak (inplay)
1930428423,상자 ( 일반 ),Normal Chest,通常の胸,正常的胸部,Normale Brust,Cofre normal,Peito normal,Coffre normal,Petto normale,Normale borst,Нормальная грудь,Normál mellkas,Κανονικό στήθος,Normal göğüs,Ngực bình thường,Dada biasa,Dada normal
1930428424,상자 ( 고급 ),Great Chest,素晴らしい胸,很棒的胸部,Tolle Brust,Gran cofre,Ótimo peito,Grande poitrine,Ottimo petto,Geweldige borst,Отличная грудь,Nagy mellkas,Υπέροχο στήθος,Büyük Göğüs,Ngực tuyệt vời,Dada yang hebat,Dada yang bagus
1930428425,상자 ( 희귀 ),Rare Chest,珍しい胸,罕见的胸部,Seltene Brust,Cofre,Peito raro,Coffre rare,Petto raro,Zeldzame borst,Редкая сундук,Ritka mellkas,Σπάνιο στήθος,Nadir Göğüs,Ngực hiếm,Dada yang jarang berlaku,Dada langka
1930428426,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,πολύ σπουδαίο πρόσωπο,vip,CAO CẤP,VIP,VIP
