PrimaryKey,Level,Order,SelectionFactor,SelectionType,ItemKey,Count,CostItemKey,CostItemCount
1644191745,6,1,1,0,572268545,10,572272641,1100
1644191746,6,2,0,0,572133377,1,572268545,50
1644191747,6,3,0,0,572141569,1,572268545,50
1644191748,6,4,0,0,572157953,1,572268545,50
1644191749,6,5,0,0,572149761,1,572268545,50
1644191750,6,6,0,0,572153857,1,572268545,50
1644191751,6,7,0,0,572284929,1,572268545,100
1644191752,6,8,0,0,572289025,5,572268545,100
1644191753,6,9,1,0,572272641,1000,572268545,9
1644191754,6,10,0,0,572133377,1,572272641,5000
1644191755,6,11,0,0,572141569,1,572272641,5000
1644191756,6,12,0,0,572157953,1,572272641,5000
1644191757,6,13,0,0,572149761,1,572272641,5000
1644191758,6,14,0,0,572153857,1,572272641,5000
1644191759,6,15,0,0,572284929,1,572272641,10000
1644191760,6,16,0,0,572289025,5,572272641,10000
1644191761,6,17,1,0,572329985,20,572272641,1000
1644191762,6,18,1,0,572338177,20,572272641,1000
1644191763,6,19,1,0,572346369,20,572272641,1000
1644191764,6,20,1,0,572354561,20,572272641,1000
1644191765,6,21,1,0,572350465,20,572272641,1000
1644195841,7,1,1,0,572268545,30,572272641,3500
1644195842,7,2,1,0,572133377,1,572268545,50
1644195843,7,3,1,0,572141569,1,572268545,50
1644195844,7,4,1,0,572157953,1,572268545,50
1644195845,7,5,1,0,572149761,1,572268545,50
1644195846,7,6,1,0,572153857,1,572268545,50
1644195847,7,7,1,0,572284929,1,572268545,100
1644195848,7,8,1,0,572289025,5,572268545,100
1644195849,7,9,1,0,572272641,2000,572268545,18
1644195850,7,10,1,0,572133377,1,572272641,5000
1644195851,7,11,1,0,572141569,1,572272641,5000
1644195852,7,12,1,0,572157953,1,572272641,5000
1644195853,7,13,1,0,572149761,1,572272641,5000
1644195854,7,14,1,0,572153857,1,572272641,5000
1644195855,7,15,1,0,572284929,1,572272641,10000
1644195856,7,16,1,0,572289025,5,572272641,10000
1644195857,7,17,1,0,572329985,20,572272641,1000
1644195858,7,18,1,0,572338177,20,572272641,1000
1644195859,7,19,1,0,572346369,20,572272641,1000
1644195860,7,20,1,0,572354561,20,572272641,1000
1644195861,7,21,1,0,572350465,20,572272641,1000
1644208129,10,1,1,0,572268545,300,572272641,35000
1644208130,10,2,1,0,572284929,2,572268545,200
1644208131,10,3,1,0,572329985,50,572268545,3
