PrimaryKey,NameKey,DescKey,Group,icon,Order,Category,Type,OperationType,RangeType,Value,ValueMin,ValueMax,Duration,MaxStackCount,WaitTime,Inteval,PrefabFX
709955841,1879048474,NaN,5242880,ICON_EFFECT_ATTACKPOWER,1,5,17,2,1,0.25,0.25,0.25,0,1,0,0,
709890306,1879048493,NaN,5242880,ICON_EFFECT_MOVESPEED,2,5,1,2,1,0.25,0.25,0.25,0,1,0,0,
709959939,1879048478,NaN,5242880,ICON_EFFECT_CRITICALCHANCE,3,5,18,3,1,0.2,0.2,0.2,0,1,0,0,
709992708,1879048477,NaN,5242880,ICON_EFFECT_RICOCHETCHANCE,4,5,26,3,1,0.2,0.2,0.2,0,1,0,0,
710025477,1879048494,NaN,5242880,ICON_EFFECT_MAXHP,5,5,34,2,1,0.5,0.5,0.5,0,1,0,0,
709984518,1879048488,NaN,5242880,ICON_EFFECT_EXPLOSIONRANGE,6,5,24,2,6,0.5,0.5,0.5,0,1,0,0,
709894407,1879048479,NaN,5242880,ICON_EFFECT_RELOADTIME,7,5,2,2,1,-0.4,-0.4,-0.4,0,1,0,0,
710005000,1879048480,NaN,5242880,ICON_EFFECT_PENETRATECHANCE,8,5,29,2,1,0.2,0.1,0.3,0,1,0,0,
720376066,1879048582,1895825727,15732994,ICON_SKILL_MOVESPEED,1,15,1,2,3,0.5,0.5,0.5,0,1,0,0,
720380163,1879048581,1895825726,15737091,ICON_SKILL_CANNOTRUN,1,15,2,0,6,3000,3000,3000,3000,1,1000,500,
720511235,1879048584,1895825729,15737091,ICON_SKILL_MAXHP,1,15,34,2,3,0.5,0.5,0.5,0,1,0,0,
720470273,1879048583,1895825728,15827201,ICON_SKILL_EXPLOSIONRANGE,1,15,24,2,3,0.5,0.5,0.5,0,1,0,0,
720380164,1879048581,1895825726,15737092,ICON_SKILL_CANNOTRUN,1,15,2,0,6,3000,3000,3000,4000,1,1000,500,
720441604,1879048585,1895825730,15737092,ICON_SKILL_ATTACKPOWER,1,15,17,2,3,0.5,3000,3000,0,1,0,0,
720380165,1879048581,1895825726,15737093,ICON_SKILL_CANNOTRUN,1,15,2,0,6,3000,3000,3000,4000,1,1000,500,
720511237,1879048584,1895825729,15737093,ICON_SKILL_MAXHP,1,15,34,2,3,0.5,0.5,0.5,0,1,0,0,
720441605,1879048585,1895825730,15737093,ICON_SKILL_ATTACKPOWER,1,15,17,2,3,0.5,0.5,0.5,0,1,0,0,
706744580,NaN,NaN,2101508,ICON_EFFECT_,1,2,1,0,6,3000,3000,3000,0,1,0,0,
706756867,NaN,NaN,2101508,ICON_EFFECT_FIREFIELD,2,2,4,0,6,3000,3000,3000,4000,1,1000,500,
706744705,NaN,NaN,2101633,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706756993,NaN,NaN,2101633,ICON_EFFECT_FIREFIELD,2,2,4,0,6,4000,4000,4000,4000,1,200,500,
706744577,NaN,NaN,2101505,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744578,NaN,NaN,2101506,ICON_EFFECT_,1,2,1,0,6,3000,3000,3000,0,1,0,0,
707793153,NaN,NaN,3150081,ICON_EFFECT_LOCKWEAPON,1,3,1,0,1,1,1,1,0,1,0,0,
707793154,NaN,NaN,3150082,ICON_EFFECT_LOCKWEAPON,1,3,1,0,1,2,2,2,0,1,0,0,
707793155,NaN,NaN,3150083,ICON_EFFECT_LOCKWEAPON,1,3,1,0,1,3,3,3,0,1,0,0,
708841729,1879048246,NaN,4198657,ICON_EFFECT_,1,4,1,2,1,30,30,30,0,1,0,0,FX_Effect_Heal
706748675,NaN,NaN,2105603,ICON_EFFECT_,1,2,2,0,6,4000,5000,5000,0,1,0,0,
706744579,NaN,NaN,2105603,ICON_EFFECT_,2,2,1,0,6,3000,3000,3000,0,1,0,0,
706752769,NaN,NaN,2109697,ICON_EFFECT_,1,2,3,0,6,3000,3000,3000,0,1,0,0,
706752770,NaN,NaN,2109698,ICON_EFFECT_,1,2,3,0,6,3500,3500,3500,0,1,0,0,
706744581,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744582,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744583,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744584,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744585,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744586,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744587,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744588,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744589,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706744590,NaN,NaN,2101509,ICON_EFFECT_,1,2,1,0,6,4000,4000,4000,0,1,0,0,
706760975,1879048678,1895825800,2117903,ICON_EFFECT_JUMPATTACK,1,2,5,0,6,3500,3500,3500,0,1,0,0,
706752772,1879048679,1895825801,2109700,ICON_EFFECT_FROSTWIND,1,2,3,0,2,10000,10000,10000,3000,1,0,0,
706756869,1879048680,1895825802,2113797,ICON_EFFECT_INVINCIBLE,1,2,4,0,2,6000,6000,6000,3000,1,0,0,
712122625,1879048681,NaN,7479553,ICON_EFFECT_MAXHP,1,7,34,3,1,100,100,100,0,1,0,0,
712122626,1879048681,NaN,7479554,ICON_EFFECT_MAXHP,1,7,34,3,1,200,200,200,0,1,0,0,
712122627,1879048681,NaN,7479555,ICON_EFFECT_MAXHP,1,7,34,3,1,300,300,300,0,1,0,0,
712122628,1879048681,NaN,7479556,ICON_EFFECT_MAXHP,1,7,34,3,1,400,400,400,0,1,0,0,
712122629,1879048681,NaN,7479557,ICON_EFFECT_MAXHP,1,7,34,3,1,500,500,500,0,1,0,0,
712122630,1879048681,NaN,7479558,ICON_EFFECT_MAXHP,1,7,34,3,1,600,600,600,0,1,0,0,
712122631,1879048681,NaN,7479559,ICON_EFFECT_MAXHP,1,7,34,3,1,700,700,700,0,1,0,0,
712122632,1879048681,NaN,7479560,ICON_EFFECT_MAXHP,1,7,34,3,1,800,800,800,0,1,0,0,
712122633,1879048681,NaN,7479561,ICON_EFFECT_MAXHP,1,7,34,3,1,900,900,900,0,1,0,0,
712122634,1879048681,NaN,7479562,ICON_EFFECT_MAXHP,1,7,34,3,1,1000,1000,1000,0,1,0,0,
712090113,1879048682,1895825804,7447041,ICON_EFFECT_RICOCHETCHANCE_REPLACE,1,7,26,1,1,1,1,1,5000,1,0,0,
712118529,1879048683,NaN,7475457,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,2,2,2,0,1,0,0,
712118530,1879048683,NaN,7475458,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,4,4,4,0,1,0,0,
712118531,1879048683,NaN,7475459,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,6,6,6,0,1,0,0,
712118532,1879048683,NaN,7475460,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,8,8,8,0,1,0,0,
712118533,1879048683,NaN,7475461,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,10,10,10,0,1,0,0,
712118534,1879048683,NaN,7475462,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,12,12,12,0,1,0,0,
712118535,1879048683,NaN,7475463,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,14,14,14,0,1,0,0,
712118536,1879048683,NaN,7475464,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,16,16,16,0,1,0,0,
712118537,1879048683,NaN,7475465,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,18,18,18,0,1,0,0,
712118538,1879048683,NaN,7475466,ICON_EFFECT_DEFENCEPOWER,1,7,33,3,1,20,20,20,0,1,0,0,
712052993,1879048684,NaN,7409921,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.005,0.005,0.005,0,1,0,0,
712052994,1879048684,NaN,7409922,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.01,0.01,0.01,0,1,0,0,
712052995,1879048684,NaN,7409923,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.015,0.015,0.015,0,1,0,0,
712052996,1879048684,NaN,7409924,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.02,0.02,0.02,0,1,0,0,
712052997,1879048684,NaN,7409925,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.025,0.025,0.025,0,1,0,0,
712052998,1879048684,NaN,7409926,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.03,0.03,0.03,0,1,0,0,
712052999,1879048684,NaN,7409927,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.035,0.035,0.035,0,1,0,0,
712053000,1879048684,NaN,7409928,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.04,0.04,0.04,0,1,0,0,
712053001,1879048684,NaN,7409929,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.045,0.045,0.045,0,1,0,0,
712053002,1879048684,NaN,7409930,ICON_EFFECT_ATTACKPOWER,1,7,17,2,1,0.05,0.05,0.05,0,1,0,0,
711991553,1879048685,NaN,7348481,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.01,-0.01,-0.01,0,1,0,0,
711991554,1879048685,NaN,7348482,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.02,-0.02,-0.02,0,1,0,0,
711991555,1879048685,NaN,7348483,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.03,-0.03,-0.03,0,1,0,0,
711991556,1879048685,NaN,7348484,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.04,-0.04,-0.04,0,1,0,0,
711991557,1879048685,NaN,7348485,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.05,-0.05,-0.05,0,1,0,0,
711991558,1879048685,NaN,7348486,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.06,-0.06,-0.06,0,1,0,0,
711991559,1879048685,NaN,7348487,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.07,-0.07,-0.07,0,1,0,0,
711991560,1879048685,NaN,7348488,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.08,-0.08,-0.08,0,1,0,0,
711991561,1879048685,NaN,7348489,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.09,-0.09,-0.09,0,1,0,0,
711991562,1879048685,NaN,7348490,ICON_EFFECT_RELOADTIME,1,7,2,2,1,-0.1,-0.1,-0.1,0,1,0,0,
712057089,1879048686,NaN,7414017,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.0005,0.0005,0.0005,0,1,0,0,
712057090,1879048686,NaN,7414018,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.001,0.001,0.001,0,1,0,0,
712057091,1879048686,NaN,7414019,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.0015,0.0015,0.0015,0,1,0,0,
712057092,1879048686,NaN,7414020,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.002,0.002,0.002,0,1,0,0,
712057093,1879048686,NaN,7414021,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.0025,0.0025,0.0025,0,1,0,0,
712057094,1879048686,NaN,7414022,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.003,0.003,0.003,0,1,0,0,
712057095,1879048686,NaN,7414023,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.0035,0.0035,0.0035,0,1,0,0,
712057096,1879048686,NaN,7414024,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.004,0.004,0.004,0,1,0,0,
712057097,1879048686,NaN,7414025,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.0045,0.0045,0.0045,0,1,0,0,
712057098,1879048686,NaN,7414026,ICON_EFFECT_CRITICALCHANCE,1,7,18,3,1,0.005,0.005,0.005,0,1,0,0,
712061185,1879048687,NaN,7418113,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.001,0.001,0.001,0,1,0,0,
712061186,1879048687,NaN,7418114,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.002,0.002,0.002,0,1,0,0,
712061187,1879048687,NaN,7418115,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.003,0.003,0.003,0,1,0,0,
712061188,1879048687,NaN,7418116,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.004,0.004,0.004,0,1,0,0,
712061189,1879048687,NaN,7418117,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.005,0.005,0.005,0,1,0,0,
712061190,1879048687,NaN,7418118,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.006,0.006,0.006,0,1,0,0,
712061191,1879048687,NaN,7418119,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.007,0.007,0.007,0,1,0,0,
712061192,1879048687,NaN,7418120,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.008,0.008,0.008,0,1,0,0,
712061193,1879048687,NaN,7418121,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.009,0.009,0.009,0,1,0,0,
712061194,1879048687,NaN,7418122,ICON_EFFECT_CRITICALRATIO,1,7,19,3,1,0.01,0.01,0.01,0,1,0,0,
712380673,1879048688,NaN,7737601,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.002,0.002,0.002,0,1,0,0,
712380674,1879048688,NaN,7737602,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.004,0.004,0.004,0,1,0,0,
712380675,1879048688,NaN,7737603,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.006,0.006,0.006,0,1,0,0,
712380676,1879048688,NaN,7737604,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.008,0.008,0.008,0,1,0,0,
712380677,1879048688,NaN,7737605,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.01,0.01,0.01,0,1,0,0,
712380678,1879048688,NaN,7737606,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.012,0.012,0.012,0,1,0,0,
