PrimaryKey,Group,Order,SelectionType,SelectionFactor,EffectKey
687865857,20497,1,0,1,709955841
687865858,20497,2,0,1,709890306
687865859,20497,3,0,1,709959939
687865860,20497,4,0,1,709992708
687865861,20497,5,0,1,710025477
687865862,20497,6,0,1,709984518
687865863,20497,7,0,1,709894407
687865864,20497,8,0,1,710005000
687865865,61457,1,1,1,720470273
687865866,61458,1,1,1,720376066
687865867,61459,1,1,1,720380163
687865868,61459,2,1,1,720511235
687865869,61460,1,1,1,720380164
687865870,61460,2,1,1,720441604
687865871,61461,1,1,1,720380165
687865872,61461,2,1,1,720511237
687865873,61461,3,1,1,720441605
687865874,4369,1,0,1,705761553
687865875,4369,2,0,1,705962257
687865876,4369,3,0,1,705966353
687865877,4369,4,0,1,705958161
687865878,4369,5,0,1,705782033
687865879,4369,6,0,1,705798417
687865880,4369,7,0,1,705765649
687865881,4369,8,0,1,705700113
687865882,4369,9,0,1,705810705
687865883,4369,10,0,1,705786129
687865884,4369,11,0,1,705818897
687865885,4369,12,0,1,705896721
687865886,4370,1,0,1,705761554
687865887,4370,2,0,1,705962258
687865888,4370,3,0,1,705966354
687865889,4370,4,0,1,705958162
687865890,4370,5,0,1,705782034
687865891,4370,6,0,1,705798418
687865892,4370,7,0,1,705765650
687865893,4370,8,0,1,705700114
687865894,4370,9,0,1,705810706
687865895,4370,10,0,1,705786130
687865896,4370,11,0,1,705818898
687865897,4370,12,0,1,705896722
687865898,4371,1,0,1,705761555
687865899,4371,2,0,1,705962259
687865900,4371,3,0,1,705966355
687865901,4371,4,0,1,705958163
687865902,4371,5,0,1,705782035
687865903,4371,6,0,1,705798419
687865904,4371,7,0,1,705765651
687865905,4371,8,0,1,705700115
687865906,4371,9,0,1,705810707
687865907,4371,10,0,1,705786131
687865908,4371,11,0,1,705818899
687865909,4371,12,0,1,705896723
687865910,4372,1,0,1,705761556
687865911,4372,2,0,1,705962260
687865912,4372,3,0,1,705966356
687865913,4372,4,0,1,705958164
687865914,4372,5,0,1,705782036
687865915,4372,6,0,1,705798420
687865916,4372,7,0,1,705765652
687865917,4372,8,0,1,705700116
687865918,4372,9,0,1,705810708
687865919,4372,10,0,1,705786132
687865920,4372,11,0,1,705818900
687865921,4372,12,0,1,705896724
687865922,4373,1,0,1,705761557
687865923,4373,2,0,1,705962261
687865924,4373,3,0,1,705966357
687865925,4373,4,0,1,705958165
687865926,4373,5,0,1,705782037
687865927,4373,6,0,1,705798421
687865928,4373,7,0,1,705765653
687865929,4373,8,0,1,705700117
687865930,4373,9,0,1,705810709
687865931,4373,10,0,1,705786133
687865932,4373,11,0,1,705896725
687865933,4373,12,0,1,705892629
687865934,4374,1,0,1,705761558
687865935,4374,2,0,1,705962262
687865936,4374,3,0,1,705966358
687865937,4374,4,0,1,705958166
687865938,4374,5,0,1,705782038
687865939,4374,6,0,1,705798422
687865940,4374,7,0,1,705765654
687865941,4374,8,0,1,705700118
687865942,4374,9,0,1,705810710
687865943,4374,10,0,1,705786134
687865944,4374,11,0,1,705896726
687865945,4374,12,0,1,705892630
687865946,4375,1,0,1,705761559
687865947,4375,2,0,1,705962263
687865948,4375,3,0,1,705966359
687865949,4375,4,0,1,705958167
687865950,4375,5,0,1,705782039
687865951,4375,6,0,1,705798423
687865952,4375,7,0,1,705765655
687865953,4375,8,0,1,705700119
687865954,4375,9,0,1,705810711
687865955,4375,10,0,1,705786135
687865956,4375,11,0,1,705896727
687865957,4375,12,0,1,705892631
687865958,4376,1,0,1,705761560
687865959,4376,2,0,1,705962264
687865960,4376,3,0,1,705966360
687865961,4376,4,0,1,705958168
687865962,4376,5,0,1,705782040
687865963,4376,6,0,1,705798424
687865964,4376,7,0,1,705765656
687865965,4376,8,0,1,705700120
687865966,4376,9,0,1,705810712
687865967,4376,10,0,1,705786136
687865968,4376,11,0,1,705896728
687865969,4376,12,0,1,705892632
687865970,4377,1,0,1,705761561
687865971,4377,2,0,1,705962265
687865972,4377,3,0,1,705966361
687865973,4377,4,0,1,705958169
687865974,4377,5,0,1,705782041
687865975,4377,6,0,1,705798425
687865976,4377,7,0,1,705765657
687865977,4377,8,0,1,705700121
687865978,4377,9,0,1,705810713
687865979,4377,10,0,1,705786137
687865980,4377,11,0,1,705896729
687865981,4377,12,0,1,705892633
687865982,4378,1,0,1,705761562
687865983,4378,2,0,1,705962266
687865984,4378,3,0,1,705966362
687865985,4378,4,0,1,705958170
687865986,4378,5,0,1,705782042
687865987,4378,6,0,1,705798426
687865988,4378,7,0,1,705765658
687865989,4378,8,0,1,705700122
687865990,4378,9,0,1,705810714
687865991,4378,10,0,1,705786138
687865992,4378,11,0,1,705896730
687865993,4378,12,0,1,705892634
687865994,4881,1,0,1,705761585
687865995,4881,2,0,1,705962289
687865996,4881,3,0,1,705966385
687865997,4881,4,0,1,705958193
687865998,4881,5,0,1,705782065
687865999,4881,6,0,1,705765681
687866000,4881,7,0,1,705700145
687866001,4881,8,0,1,705892657
687866002,4881,9,0,1,705810737
687866003,4881,10,0,1,705786161
687866004,4881,11,0,1,705814833
687866005,4881,12,0,1,705896753
687866006,4882,1,0,1,705761586
687866007,4882,2,0,1,705962290
687866008,4882,3,0,1,705966386
687866009,4882,4,0,1,705958194
687866010,4882,5,0,1,705782066
687866011,4882,6,0,1,705765682
687866012,4882,7,0,1,705700146
687866013,4882,8,0,1,705892658
687866014,4882,9,0,1,705810738
687866015,4882,10,0,1,705786162
687866016,4882,11,0,1,705814834
687866017,4882,12,0,1,705896754
687866018,4883,1,0,1,705761587
687866019,4883,2,0,1,705962291
687866020,4883,3,0,1,705966387
687866021,4883,4,0,1,705958195
687866022,4883,5,0,1,705782067
687866023,4883,6,0,1,705765683
687866024,4883,7,0,1,705700147
687866025,4883,8,0,1,705892659
687866026,4883,9,0,1,705810739
687866027,4883,10,0,1,705786163
687866028,4883,11,0,1,705814835
687866029,4883,12,0,1,705896755
687866030,4884,1,0,1,705761588
687866031,4884,2,0,1,705962292
687866032,4884,3,0,1,705966388
687866033,4884,4,0,1,705958196
687866034,4884,5,0,1,705782068
687866035,4884,6,0,1,705765684
687866036,4884,7,0,1,705700148
687866037,4884,8,0,1,705892660
687866038,4884,9,0,1,705810740
687866039,4884,10,0,1,705786164
687866040,4884,11,0,1,705814836
687866041,4884,12,0,1,705896756
687866042,4885,1,0,1,705761589
687866043,4885,2,0,1,705962293
687866044,4885,3,0,1,705966389
687866045,4885,4,0,1,705958197
687866046,4885,5,0,1,705782069
687866047,4885,6,0,1,705765685
687866048,4885,7,0,1,705700149
687866049,4885,8,0,1,705892661
687866050,4885,9,0,1,705810741
687866051,4885,10,0,1,705786165
687866052,4885,11,0,1,705814837
687866053,4885,12,0,1,705896757
687866054,5905,1,0,1,705761649
687866055,5905,2,0,1,705962353
687866056,5905,3,0,1,705966449
687866057,5905,4,0,1,705958257
687866058,5905,5,0,1,705782129
687866059,5905,6,0,1,705700209
687866060,5905,7,0,1,705765745
687866061,5905,8,0,1,705790321
687866062,5905,9,0,1,705769841
687866063,5906,1,0,1,705761650
687866064,5906,2,0,1,705962354
687866065,5906,3,0,1,705966450
687866066,5906,4,0,1,705958258
687866067,5906,5,0,1,705782130
687866068,5906,6,0,1,705700210
687866069,5906,7,0,1,705765746
687866070,5906,8,0,1,705790322
687866071,5906,9,0,1,705769842
687866072,5907,1,0,1,705761651
687866073,5907,2,0,1,705962355
687866074,5907,3,0,1,705966451
687866075,5907,4,0,1,705958259
687866076,5907,5,0,1,705782131
687866077,5907,6,0,1,705700211
687866078,5907,7,0,1,705765747
687866079,5907,8,0,1,705790323
687866080,5907,9,0,1,705769843
687866081,5908,1,0,1,705761652
687866082,5908,2,0,1,705962356
687866083,5908,3,0,1,705966452
687866084,5908,4,0,1,705958260
687866085,5908,5,0,1,705782132
687866086,5908,6,0,1,705700212
687866087,5908,7,0,1,705765748
687866088,5908,8,0,1,705790324
687866089,5908,9,0,1,705769844
687866090,5909,1,0,1,705761653
687866091,5909,2,0,1,705962357
687866092,5909,3,0,1,705966453
687866093,5909,4,0,1,705958261
687866094,5909,5,0,1,705782133
687866095,5909,6,0,1,705700213
687866096,5909,7,0,1,705765749
687866097,5909,8,0,1,705790325
687866098,5909,9,0,1,705769845
687866099,5910,1,0,1,705761654
687866100,5910,2,0,1,705962358
687866101,5910,3,0,1,705966454
687866102,5910,4,0,1,705958262
687866103,5910,5,0,1,705782134
687866104,5910,6,0,1,705700214
687866105,5910,7,0,1,705765750
687866106,5910,8,0,1,705790326
687866107,5910,9,0,1,705769846
687866108,5393,1,0,1,705761617
687866109,5393,2,0,1,705962321
687866110,5393,3,0,1,705966417
687866111,5393,4,0,1,705958225
687866112,5393,5,0,1,705782097
687866113,5393,6,0,1,705765713
687866114,5393,7,0,1,705810769
687866115,5393,8,0,1,705892689
687866116,5393,9,0,1,705896785
687866117,5393,10,0,1,705814865
687866118,5393,11,0,1,705708369
687866119,5393,12,0,1,705818961
687866120,5394,1,0,1,705761618
687866121,5394,2,0,1,705962322
687866122,5394,3,0,1,705966418
687866123,5394,4,0,1,705958226
687866124,5394,5,0,1,705782098
687866125,5394,6,0,1,705765714
687866126,5394,7,0,1,705810770
687866127,5394,8,0,1,705892690
687866128,5394,9,0,1,705896786
687866129,5394,10,0,1,705814866
687866130,5394,11,0,1,705708370
687866131,5394,12,0,1,705818962
687866132,5395,1,0,1,705761619
687866133,5395,2,0,1,705962323
687866134,5395,3,0,1,705966419
687866135,5395,4,0,1,705958227
687866136,5395,5,0,1,705782099
687866137,5395,6,0,1,705765715
687866138,5395,7,0,1,705810771
687866139,5395,8,0,1,705892691
687866140,5395,9,0,1,705896787
687866141,5395,10,0,1,705814867
687866142,5395,11,0,1,705708371
687866143,5395,12,0,1,705818963
687866144,5396,1,0,1,705761620
687866145,5396,2,0,1,705962324
687866146,5396,3,0,1,705966420
687866147,5396,4,0,1,705958228
687866148,5396,5,0,1,705782100
687866149,5396,6,0,1,705765716
687866150,5396,7,0,1,705810772
687866151,5396,8,0,1,705892692
687866152,5396,9,0,1,705896788
687866153,5396,10,0,1,705814868
687866154,5396,11,0,1,705708372
687866155,5396,12,0,1,705818964
687866156,5649,1,0,1,705761633
687866157,5649,2,0,1,705962337
687866158,5649,3,0,1,705966433
687866159,5649,4,0,1,705958241
687866160,5649,5,0,1,705782113
687866161,5649,6,0,1,705765729
687866162,5649,7,0,1,705700193
687866163,5649,8,0,1,705823073
687866164,5649,9,0,1,705818977
687866165,5649,10,0,1,705892705
687866166,5649,11,0,1,705896801
687866167,5650,1,0,1,705761634
687866168,5650,2,0,1,705962338
687866169,5650,3,0,1,705966434
687866170,5650,4,0,1,705958242
687866171,5650,5,0,1,705782114
687866172,5650,6,0,1,705765730
687866173,5650,7,0,1,705700194
687866174,5650,8,0,1,705823074
687866175,5650,9,0,1,705818978
687866176,5650,10,0,1,705892706
687866177,5650,11,0,1,705896802
687866178,5651,1,0,1,705761635
687866179,5651,2,0,1,705962339
687866180,5651,3,0,1,705966435
687866181,5651,4,0,1,705958243
687866182,5651,5,0,1,705782115
687866183,5651,6,0,1,705765731
687866184,5651,7,0,1,705700195
687866185,5651,8,0,1,705823075
687866186,5651,9,0,1,705818979
687866187,5651,10,0,1,705892707
687866188,5651,11,0,1,705896803
687866189,5652,1,0,1,705761636
687866190,5652,2,0,1,705962340
687866191,5652,3,0,1,705966436
687866192,5652,4,0,1,705958244
687866193,5652,5,0,1,705782116
687866194,5652,6,0,1,705765732
687866195,5652,7,0,1,705700196
687866196,5652,8,0,1,705823076
687866197,5652,9,0,1,705818980
687866198,5652,10,0,1,705892708
687866199,5652,11,0,1,705896804
687866200,4385,1,0,1,705761809
687866201,4385,2,0,1,705962513
687866202,4385,3,0,1,705966609
687866203,4385,4,0,1,705958417
687866204,4385,5,0,1,705782289
687866205,4385,6,0,1,705798673
687866206,4385,7,0,1,705765905
687866207,4385,8,0,1,705700369
687866208,4385,9,0,1,705810961
687866209,4385,10,0,1,705786385
687866210,4385,11,0,1,705819153
687866211,4385,12,0,1,705896977
687866212,4386,1,0,1,705761810
687866213,4386,2,0,1,705962514
687866214,4386,3,0,1,705966610
687866215,4386,4,0,1,705958418
687866216,4386,5,0,1,705782290
687866217,4386,6,0,1,705798674
687866218,4386,7,0,1,705765906
687866219,4386,8,0,1,705700370
687866220,4386,9,0,1,705810962
687866221,4386,10,0,1,705786386
687866222,4386,11,0,1,705819154
687866223,4386,12,0,1,705896978
687866224,4387,1,0,1,705761811
687866225,4387,2,0,1,705962515
687866226,4387,3,0,1,705966611
687866227,4387,4,0,1,705958419
687866228,4387,5,0,1,705782291
687866229,4387,6,0,1,705798675
687866230,4387,7,0,1,705765907
687866231,4387,8,0,1,705700371
687866232,4387,9,0,1,705810963
687866233,4387,10,0,1,705786387
687866234,4387,11,0,1,705819155
687866235,4387,12,0,1,705896979
687866236,4388,1,0,1,705761812
687866237,4388,2,0,1,705962516
687866238,4388,3,0,1,705966612
687866239,4388,4,0,1,705958420
687866240,4388,5,0,1,705782292
687866241,4388,6,0,1,705798676
687866242,4388,7,0,1,705765908
687866243,4388,8,0,1,705700372
687866244,4388,9,0,1,705810964
687866245,4388,10,0,1,705786388
687866246,4388,11,0,1,705819156
687866247,4388,12,0,1,705896980
687866248,4389,1,0,1,705761813
687866249,4389,2,0,1,705962517
687866250,4389,3,0,1,705966613
687866251,4389,4,0,1,705958421
687866252,4389,5,0,1,705782293
687866253,4389,6,0,1,705798677
687866254,4389,7,0,1,705765909
687866255,4389,8,0,1,705700373
687866256,4389,9,0,1,705810965
687866257,4389,10,0,1,705786389
687866258,4389,11,0,1,705896981
687866259,4389,12,0,1,705892885
687866260,4390,1,0,1,705761814
687866261,4390,2,0,1,705962518
687866262,4390,3,0,1,705966614
687866263,4390,4,0,1,705958422
687866264,4390,5,0,1,705782294
687866265,4390,6,0,1,705798678
687866266,4390,7,0,1,705765910
687866267,4390,8,0,1,705700374
687866268,4390,9,0,1,705810966
