PrimaryKey,NameKey,DescKey,Type,Order,MaxChapter,PrefebMini,icon,RewardGroup,BGMLobby,BGMBattle
806355200,1879048407,1895825623,1,1,4,0001_mini,Image_StageTheme_0001,NaN,TitleLobby,Battle
806355456,1879048408,1895825624,1,2,4,0002_mini,Image_StageTheme_0002,NaN,TitleLobby,Battle
806355712,1879048409,1895825625,1,3,4,0003_mini,Image_StageTheme_0003,NaN,TitleLobby,Battle
806355968,1879048410,1895825626,1,4,4,0004_mini,Image_StageTheme_0004,NaN,TitleLobby,Battle
806356224,1879048411,1895825627,1,5,8,0005_mini,Image_StageTheme_0005,NaN,TitleLobby,Battle
806356480,1879048412,1895825628,1,6,8,0006_mini,Image_StageTheme_0006,NaN,TWWLobby,TheWar
806356736,1879048413,1895825629,1,7,8,0007_mini,Image_StageTheme_0007,NaN,TWWLobby,TheWar
806356992,1879048414,1895825630,1,8,8,0008_mini,Image_StageTheme_0008,NaN,TWWLobby,TheWar
806357248,1879048415,1895825631,1,9,8,0009_mini,Image_StageTheme_0009,NaN,TWWLobby,TheWar
806357504,1879048416,1895825632,1,10,8,0010_mini,Image_StageTheme_0010,NaN,TWWLobby,TheWar
806357760,1879048417,1895825633,1,11,8,0011_mini,Image_StageTheme_0011,NaN,TitleLobby,Battle
806358016,1879048418,1895825634,1,12,8,0012_mini,Image_StageTheme_0012,NaN,TitleLobby,Battle
806358272,1879048419,1895825635,1,13,8,0013_mini,Image_StageTheme_0013,NaN,TitleLobby,Battle
806358528,1879048420,1895825636,1,14,8,0014_mini,Image_StageTheme_0014,NaN,TitleLobby,Battle
806358784,1879048421,1895825637,1,15,8,0015_mini,Image_StageTheme_0015,NaN,TitleLobby,Battle
806359040,1879048704,1895825826,1,16,8,0016_mini,Image_StageTheme_0016,NaN,TWWLobby,TheWar
806359296,1879048705,1895825827,1,17,8,0017_mini,Image_StageTheme_0017,NaN,TWWLobby,TheWar
806359552,1879048706,1895825828,1,18,8,0018_mini,Image_StageTheme_0018,NaN,TWWLobby,TheWar
806359808,1879048707,1895825829,1,19,8,0019_mini,Image_StageTheme_0019,NaN,TWWLobby,TheWar
806360064,1879048708,1895825830,1,20,8,0020_mini,Image_StageTheme_0020,NaN,TWWLobby,TheWar
