PrimaryKey,NameKey,DescKey,Icon,IconSymbol,Grade,Type,Level,Prefab,MoveSpeed,DefencePowerStandard,HPStandard,EquipEffectGroup,EquipEffectSelectionCount,UpgradeMaterialKey,ReinforceMaterialKey,LimitbreakMaterialKey00,LimitbreakMaterialKey01,LimitbreakMaterialKey02,LimitbreakMaterialKey03,LimitbreakMaterialKey04,LimitbreakMaterialKey05,LimitbreakMaterialKey06,RecycleMaterialKey00,RecycleMaterialKey01,RecycleMaterialKey02,RecycleMaterialKey03,RecycleMaterialKey04,RecycleMaterialCount00,RecycleMaterialCount01,RecycleMaterialCount02,RecycleMaterialCount03,RecycleMaterialCount04
588320769,1879048553,1895825710,ICON_GEAR_HEAD_01_G01,ICON_GEAR_COMMON,1,1,1,ITEM_GEAR_HEAD_01_G01,0,9,11,24849,1,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,25,3,1,0,0
588324865,1879048554,1895825711,ICON_GEAR_HEAD_02_G01,ICON_GEAR_COMMON,1,1,1,ITEM_GEAR_HEAD_02_G01,0,9,11,24850,1,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,25,3,1,0,0
588328961,1879048555,1895825712,ICON_GEAR_HEAD_03_G01,ICON_GEAR_COMMON,1,1,1,ITEM_GEAR_HEAD_03_G01,0,9,11,24851,1,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,25,3,1,0,0
588333057,1879048556,1895825713,ICON_GEAR_HEAD_04_G01,ICON_GEAR_COMMON,1,1,1,ITEM_GEAR_HEAD_04_G01,0,9,11,24852,1,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,25,3,1,0,0
589369345,1879048553,1895825710,ICON_GEAR_HEAD_01_G02,ICON_GEAR_COMMON,2,1,1,ITEM_GEAR_HEAD_01_G02,0,15,22,24865,2,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,100,6,1,0,0
589373441,1879048554,1895825711,ICON_GEAR_HEAD_02_G02,ICON_GEAR_COMMON,2,1,1,ITEM_GEAR_HEAD_02_G02,0,15,22,24866,2,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,100,6,1,0,0
589377537,1879048555,1895825712,ICON_GEAR_HEAD_03_G02,ICON_GEAR_COMMON,2,1,1,ITEM_GEAR_HEAD_03_G02,0,15,22,24867,2,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,100,6,1,0,0
589381633,1879048556,1895825713,ICON_GEAR_HEAD_04_G02,ICON_GEAR_COMMON,2,1,1,ITEM_GEAR_HEAD_04_G02,0,15,22,24868,2,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,100,6,1,0,0
590417921,1879048553,1895825710,ICON_GEAR_HEAD_01_G03,ICON_GEAR_COMMON,3,1,1,ITEM_GEAR_HEAD_01_G03,0,22,33,24881,3,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,500,10,1,0,0
590422017,1879048554,1895825711,ICON_GEAR_HEAD_02_G03,ICON_GEAR_COMMON,3,1,1,ITEM_GEAR_HEAD_02_G03,0,22,33,24882,3,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,500,10,1,0,0
590426113,1879048555,1895825712,ICON_GEAR_HEAD_03_G03,ICON_GEAR_COMMON,3,1,1,ITEM_GEAR_HEAD_03_G03,0,22,33,24883,3,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,500,10,1,0,0
590430209,1879048556,1895825713,ICON_GEAR_HEAD_04_G03,ICON_GEAR_COMMON,3,1,1,ITEM_GEAR_HEAD_04_G03,0,22,33,24884,3,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,500,10,1,0,0
591466497,1879048553,1895825710,ICON_GEAR_HEAD_01_G04,ICON_GEAR_COMMON,4,1,1,ITEM_GEAR_HEAD_01_G04,0,29,44,24897,4,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,1000,15,1,0,0
591470593,1879048554,1895825711,ICON_GEAR_HEAD_02_G04,ICON_GEAR_COMMON,4,1,1,ITEM_GEAR_HEAD_02_G04,0,29,44,24898,4,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,1000,15,1,0,0
