sPrimaryKey,VariableType,Value
maxUpgrade,1,2
timeBoostToConfirm,1,500
timeRewardShowGap,1,100
countCheckAIConditionPerSecond,1,10
countMaterialForUpgradeStandard,1,3
countStandardMaterialForReinforce,1,50
countAdditionalMaterialForReinforce,1,25
costStandardReinforce,1,5000
countToolForReinforce,1,5
countMaterialForUpgradeAdditional,1,5
countStandardUpgrade,1,10
costStandardUpgrade,1,500
costAdditionalUpgrade,1,250
rangeStandardAttack,1,10000
timeStandardAttack,1,60000
speedStandardMove,1,10
ratioStandardAttackPower,2,0.2
ratioStandardSGHit,2,0.5
frameGRAimTime,1,16
frameGRAttackDelay,1,40
countStandardWeaponCapacity,1,30
countStandardGearCapacity,1,30
costWeaponRepositoryExtent,1,5
costGearRepositoryExtent,1,5
countLightBonus,1,50
rangeGetGroundItem,1,4500
timeHPChangeDelay,1,750
timeColorChangeToFire,1,500
countPremiumBoxBonus,1,200
ratioShopBuyTenDiscount,2,0.9
rangeCameraOffsetTop,1,0
rangeCameraOffsetBottom,1,6000
rangeCameraOffsetLeft,1,0
rangeCameraOffsetRight,1,0
timeWorkshopListPresentGap,1,50
valueGravityForPlayer,2,19.62
valueGravityForGrenade,2,29.43
degreeForFireGrenade,2,55
maxStepHeight,1,350
valueStadardAccuracy,1,100000
distanceGrenadeOffset,1,1500
urlDiscord,3,https://discord.gg/cgsTBk67
timeInvincibilityAfterRevive,1,3000
perCritical,2,0.02
ratioCritical,2,2
perSmallAttack,2,0.3
ratioSmallAttack,2,0.5
perReloadInstance,2,0
perRicochet,2,0
rangeRicochet,1,8000
perSplit,2,0
perPenetrate,2,0
perDoubleShot,2,0
timeDoubliShot,1,150
ratioUpgrade,2,0.1
ratioReinforce,2,0.2
ratioLimitbreak,2,0.4
timeWeaponLockSkill,1,3000
valueHuntOpenLevel,1,9
valueHuntOpenEpisode,1,3
valueHuntMinRange,1,5
valueHuntMaxRange,1,1
ratioGameMoneyDealBonus,2,2
ratioCrystalDealBonus,2,2
timeBoxBoosting,2,3000
timeDelayTrigger,1,3000
valueUIMultyScroolSensitivity,1,120
valueStatColor,3,FF2AEF
valueFasterTimeScale,2,2
timeRequest,1,30
countMaxRetryPost,1,5
levelMaxAccount,1,65
levelMaxWorkshop,1,8
timeForReloadPress,1,750
valueWorkshopOpenLevel,1,7
valueRecycleOpenLevel,1,3
valueShopOpenLevel,1,1
valueInventoryOpenLevel,1,1
valueBattlePassOpenEpisode,1,5
valueSniperRecoil,2,0.2
timeAdventureReset,1,259200000
timeAdventureKeyObtain,1,7200000
countMaxAdventureKey,1,3
valueElitePassKey,4,1677721601
valuePlusPassKey,4,1677721602
ratioHuntReward,2,0.1
timeBattlePass,1,1209600000
valueTicketDecKey,1,572461057
valueAdventureKeyCard,1,572469249
keyKeyCardBuyMaterial,1,572268545
countKeyCardBuyMaterial,1,100
valueMissionOpenLevel,1,1
valueCommunityOpenLevel,1,1
valueAdventureOpenLevel,1,7
valueAbyssOpenLevel,1,10
valueGearOpenLevel,1,9
valueHeadOpenLevel,1,9
valueUpperOpenLevel,1,9
valueHandsOpenLevel,1,9
valueLowerOpenLevel,1,9
valueMinNPCLevel,1,5
valueMaxNPCLevel,1,1500
ratioMaxBleeding,2,0.1
countAbyssAdjustTime,1,2
valueAttendanceOpenEpisode,1,1
typeReceiptControl,1,0
valueMissionDefenceOpenLevel,1,8
valueDefenceTicketDecKey,4,572469250
countKeepCorpse,1,40
countNPCCorpse,1,60
timeDefenceRewardsAppear,1,50
valueBoxTutorialLevel,1,2
valueShopBoxTutorialLevel,1,4
valuePopupVIPLevel,1,5
ratioPopupVIP,2,0.3333333333
valueAdsRemoveTicketDecKey,4,572461058
valueAdsRewardOpenLevel,1,5
valuePopupVIPEpisode,1,6
valueAdsRewardOpenEpisode,1,6
valueQuestOpenLevel,1,3
ratioVIPQuestPoint,2,2
HeadRecipeKey,4,16777231
UpperRecipeKey,4,16777232
HandsRecipeKey,4,16777233
LowerRecipeKey,4,16777234
timeQuestCardInactivate,2,3500
ratioBonusNPCinCampaign,2,1
ratioBonusNPCinHunt,2,1
ratioBonusNPCinAdventure,2,1
ratioBonusNPCinDefence,2,0.1
ratioBonusNPCinAbyss,2,0.5
valuBonusPointAdjustStartEpisode,1,5
timeETCEventMinimize,2,4500
valueGamemoneyDivide,1,25
SamiBossNPCKey,4,324019970
RobberyNPCKey,4,324018177
valuSamiBossStartEpisode,1,5
timeContinuouslyKill,1,2500
timeIgnoreContinuouslyKill,1,500
valueContinuouslyKillAddPitch,2,0.1
valueMaxCharacterLevel,1,45
valueInvincibleExplosionPower,1,250
ratioSkillPointinCampaign,2,1
ratioSkillPointinHunt,2,1
ratioSkillPointinAdventure,2,1
ratioSkillPointinDefence,2,0.1
ratioSkillPointinAbyss,2,1
