PrimaryKey,NameKey,DescKey,Grade,Order,Icon,RewardsGroup,MinRank,MaxRank
1056964625,1879048616,NaN,1,1,ICON_RANK_G1_01,6357009,181,2100000000
1056964626,1879048616,NaN,1,2,ICON_RANK_G1_02,6357025,141,180
1056964627,1879048616,NaN,1,3,ICON_RANK_G1_03,6357041,116,140
1056964641,1879048617,NaN,2,1,ICON_RANK_G2_01,6422545,91,115
1056964642,1879048617,NaN,2,2,ICON_RANK_G2_02,6422561,71,90
1056964643,1879048617,NaN,2,3,ICON_RANK_G2_03,6422577,51,70
1056964657,1879048618,NaN,3,1,ICON_RANK_G3_01,6488081,41,50
1056964658,1879048618,NaN,3,2,ICON_RANK_G3_02,6488097,31,40
1056964659,1879048618,NaN,3,3,ICON_RANK_G3_03,6488113,26,30
1056964673,1879048619,NaN,4,1,ICON_RANK_G4_01,6553617,21,25
1056964674,1879048619,NaN,4,2,ICON_RANK_G4_02,6553633,16,20
1056964675,1879048619,NaN,4,3,ICON_RANK_G4_03,6553649,11,15
1056964689,1879048620,NaN,5,1,ICON_RANK_G5_01,6619153,6,10
1056964690,1879048620,NaN,5,2,ICON_RANK_G5_02,6619169,4,5
1056964691,1879048620,NaN,5,3,ICON_RANK_G5_03,6619185,2,3
1056964705,1879048621,NaN,6,1,ICON_RANK_G6_01,6684689,1,1
