PrimaryKey,NameKey,DescKey,ContentsForGetKey00,ContentsForGetKey01,ContentsForGetKey02,ContentsForGetKey03,ContentsForGetKey04,ContentsForGetKey05,ContentsForGetKey06,ContentsForGetKey07,ContentsForGetKey08,ContentsForGetKey09,ContentsForUseKey00,ContentsForUseKey01,ContentsForUseKey02,ContentsForUseKey03,ContentsForUseKey04,ContentsForUseKey05,ContentsForUseKey06,ContentsForUseKey07,ContentsForUseKey08,ContentsForUseKey09,Type,SubType,Grade,icon,IconSymbol,Prefab,MaxStackCount
572264449,1879048240,1895825456,1930428426,1930428428,0,0,0,0,0,0,0,0,1930428428,1931477061,1931477063,1931477064,1931477065,0,0,0,0,0,12,1,1,ICON_MATERIAL_CURRENCY_HARDP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_HARDP_01,999999999
572268545,1879048241,1895825457,1930428426,1930428428,0,0,0,0,0,0,0,0,1930428428,1931477061,1931477063,1931477064,1931477065,0,0,0,0,0,12,2,1,ICON_MATERIAL_CURRENCY_HARDF_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_HARDF_01,999999999
572272641,1879048242,1895825458,1930428426,1930428428,1930428420,1930428421,0,0,0,0,0,0,1930428428,1931477026,1931477029,1930428436,0,0,0,0,0,0,12,3,1,ICON_MATERIAL_CURRENCY_SOFT_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_SOFT_01,999999999
572461057,1879048243,1895825459,1930428421,1930428428,0,0,0,0,0,0,0,0,1931477068,1931477067,0,0,0,0,0,0,0,0,15,1,1,ICON_MATERIAL_ETC_TICKET_01,ICON_MATERIAL_ETC,ITEM_MATERIAL_ETC_TICKET_01,999999999
572461058,1879048643,1895825781,1930428421,1930428428,0,0,0,0,0,0,0,0,1931477070,0,0,0,0,0,0,0,0,0,15,1,1,ICON_MATERIAL_ETC_TICKET_02,ICON_MATERIAL_ETC,ITEM_MATERIAL_ETC_TICKET_02,999999999
572469250,1879048244,1895825460,1930428423,1930428424,1930428425,1930428435,1930428437,0,0,0,0,0,1930428432,0,0,0,0,0,0,0,0,0,15,3,1,ICON_MATERIAL_ETC_KEY_02,ICON_MATERIAL_ETC,ITEM_MATERIAL_ETC_KEY_02,999999999
572469249,1879048245,1895825461,1930428435,0,0,0,0,0,0,0,0,0,1930428435,0,0,0,0,0,0,0,0,0,15,3,1,ICON_MATERIAL_ETC_KEY_01,ICON_MATERIAL_ETC,ITEM_MATERIAL_ETC_KEY_01,999999999
572284929,1879048247,1895825463,1930428420,1930428436,1930428431,1930428428,0,0,0,0,0,0,1931477029,0,0,0,0,0,0,0,0,0,12,6,1,ICON_MATERIAL_CURRENCY_TOOL_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_TOOL_01,999999999
572289025,1879048248,1895825464,1930428420,1930428421,1930428428,0,0,0,0,0,0,0,1931477053,0,0,0,0,0,0,0,0,0,12,7,1,ICON_MATERIAL_CURRENCY_PMATERIAL_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_PMATERIAL_01,999999999
572329985,1879048249,1895825465,1930428420,1930428418,1930428421,1930428428,1930428431,0,0,0,0,0,1931477015,1931477032,1931477052,0,0,0,0,0,0,0,13,1,1,ICON_MATERIAL_MATERIAL_PISTOL_01,ICON_MATERIAL_MATERIAL,ITEM_MATERIAL_MATERIAL_PISTOL_01,999999999
572338177,1879048250,1895825466,1930428420,1930428418,1930428421,1930428428,1930428431,0,0,0,0,0,1931477017,1931477033,1931477052,0,0,0,0,0,0,0,13,3,1,ICON_MATERIAL_MATERIAL_AR_01,ICON_MATERIAL_MATERIAL,ITEM_MATERIAL_MATERIAL_AR_01,999999999
