PrimaryKey,Type,Group,Theme,Order,ChapterType,RewardExp,RewardPassExp,RewardBattlePassExp,BonusBuffGroup,AddBonusItemKey,AddBonusItemCount,AutoCompItemKey,AutoCompItemCount,MaxCountRevive,ReviveItemKey,ReviveItemCount,CorrectValueStandardLevel,RewardGroup,RewardMain
909115649,3,1,1,1,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-70,1245201,608051233
909115650,3,1,1,2,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-60,1245217,608051233
909115651,3,1,1,3,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-50,1245233,608051233
909115652,3,1,1,4,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-40,1245249,608051233
909115653,3,1,1,5,1,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-30,1245265,608051233
909115654,3,1,1,6,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-20,1245281,608051233
909115655,3,1,1,7,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-10,1245297,608051233
909115656,3,1,1,8,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,0,1245313,608051233
909115657,3,1,1,9,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,10,1245329,608051233
909115658,3,1,1,10,1,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,20,1245345,608051233
909115659,3,1,1,11,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,30,1245361,608051233
909115660,3,1,1,12,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,40,1245377,608051233
909115661,3,1,1,13,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,50,1245393,608051233
909115662,3,1,1,14,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,60,1245409,608051233
909115663,3,1,1,15,1,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,70,1245425,608051233
909115905,3,2,2,1,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-70,1245202,608071713
909115906,3,2,2,2,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-60,1245218,608071713
909115907,3,2,2,3,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-50,1245234,608071713
909115908,3,2,2,4,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-40,1245250,608071713
909115909,3,2,2,5,1,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-30,1245266,608071713
909115910,3,2,2,6,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-20,1245282,608071713
909115911,3,2,2,7,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,-10,1245298,608071713
909115912,3,2,2,8,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,0,1245314,608071713
909115913,3,2,2,9,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,10,1245330,608071713
909115914,3,2,2,10,1,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,20,1245346,608071713
909115915,3,2,2,11,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,30,1245362,608071713
909115916,3,2,2,12,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,40,1245378,608071713
909115917,3,2,2,13,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,50,1245394,608071713
909115918,3,2,2,14,0,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,60,1245410,608071713
909115919,3,2,2,15,1,0,10,10,20497,572268545,60,572461057,2,5,572268545,20,70,1245426,608071713
