PrimaryKey,Type,Difficulty,Order,ColorIndex,Icon,WaveType,CountAppearNPC,NPCGroup,StandardNPCLevel,CountNPC,RatioHP,RatioAimTime,RatioPowerAttack,timeWave,IntervalNPC,IntervalWave,RewardGroup
960495617,4,0,1,0,ICON_RANK_G0_Base,0,1,0,5,20,0.5,1.4,0.6,20000,300,5000,1310736
960495618,4,0,2,0,ICON_RANK_G0_Base,0,1,0,10,20,0.51,1.4,0.61,20000,300,5000,1310752
960495619,4,0,3,0,ICON_RANK_G0_Base,0,1,0,15,20,0.52,1.4,0.62,20000,300,5000,1310768
960495620,4,0,4,1,ICON_RANK_G1_Base,0,1,1,20,20,0.53,1.4,0.63,20000,300,5000,1310784
960495621,4,0,5,1,ICON_RANK_G1_Base,0,1,1,25,20,0.54,1.4,0.64,20000,300,5000,1310800
960495622,4,0,6,1,ICON_RANK_G1_Base,0,1,1,30,20,0.55,1.4,0.65,20000,300,5000,1310816
960495623,4,0,7,2,ICON_RANK_G2_Base,0,1,2,35,20,0.56,1.4,0.66,20000,300,5000,1310832
960495624,4,0,8,2,ICON_RANK_G2_Base,0,1,2,40,20,0.57,1.4,0.67,20000,300,5000,1310848
960495625,4,0,9,2,ICON_RANK_G2_Base,0,1,2,45,20,0.58,1.4,0.68,20000,300,5000,1310864
960495626,4,0,10,2,ICON_RANK_G2_Base,0,1,2,50,20,0.59,1.4,0.69,20000,300,5000,1310880
960495627,4,0,11,3,ICON_RANK_G3_Base,0,1,3,55,20,0.6,1.4,0.71,20000,300,5000,1310896
960495628,4,0,12,3,ICON_RANK_G3_Base,0,1,3,60,20,0.61,1.4,0.73,20000,300,5000,1310912
960495629,4,0,13,3,ICON_RANK_G3_Base,0,1,3,65,20,0.62,1.4,0.75,20000,300,5000,1310928
960495630,4,0,14,3,ICON_RANK_G3_Base,0,1,3,70,20,0.63,1.4,0.77,20000,300,5000,1310944
960495631,4,0,15,4,ICON_RANK_G4_Base,0,1,4,75,20,0.64,1.4,0.79,20000,300,5000,1310960
960561153,4,1,1,1,ICON_RANK_G1_Base,0,1,1,150,20,0.55,1.3,0.65,20000,300,5000,1310737
960561154,4,1,2,1,ICON_RANK_G1_Base,0,1,1,155,20,0.56,1.3,0.66,20000,300,5000,1310753
960561155,4,1,3,1,ICON_RANK_G1_Base,0,1,1,160,20,0.57,1.3,0.67,20000,300,5000,1310769
960561156,4,1,4,1,ICON_RANK_G1_Base,0,1,1,165,20,0.58,1.3,0.68,20000,300,5000,1310785
960561157,4,1,5,2,ICON_RANK_G2_Base,0,1,2,170,20,0.59,1.3,0.69,20000,300,5000,1310801
960561158,4,1,6,2,ICON_RANK_G2_Base,0,1,2,175,20,0.6,1.3,0.7,20000,300,5000,1310817
960561159,4,1,7,2,ICON_RANK_G2_Base,0,1,2,180,20,0.61,1.3,0.71,20000,300,5000,1310833
960561160,4,1,8,2,ICON_RANK_G2_Base,0,1,2,185,20,0.62,1.3,0.72,20000,300,5000,1310849
960561161,4,1,9,3,ICON_RANK_G3_Base,0,1,3,190,20,0.63,1.3,0.73,20000,300,5000,1310865
960561162,4,1,10,3,ICON_RANK_G3_Base,0,1,3,195,20,0.64,1.3,0.74,20000,300,5000,1310881
960561163,4,1,11,3,ICON_RANK_G3_Base,0,1,3,200,20,0.65,1.3,0.76,20000,300,5000,1310897
960561164,4,1,12,4,ICON_RANK_G4_Base,0,1,4,205,20,0.66,1.3,0.78,20000,300,5000,1310913
960561165,4,1,13,4,ICON_RANK_G4_Base,0,1,4,210,20,0.67,1.3,0.8,20000,300,5000,1310929
960561166,4,1,14,4,ICON_RANK_G4_Base,0,1,4,215,20,0.68,1.3,0.82,20000,300,5000,1310945
960561167,4,1,15,5,ICON_RANK_G5_Base,0,1,5,220,20,0.69,1.3,0.84,20000,300,5000,1310961
960626689,4,2,1,2,ICON_RANK_G2_Base,0,2,2,320,30,0.6,1.2,0.7,20000,300,5000,1310738
960626690,4,2,2,2,ICON_RANK_G2_Base,0,2,2,325,30,0.61,1.2,0.71,20000,300,5000,1310754
960626691,4,2,3,2,ICON_RANK_G2_Base,0,2,2,330,30,0.62,1.2,0.72,20000,300,5000,1310770
960626692,4,2,4,3,ICON_RANK_G3_Base,0,2,3,335,30,0.63,1.2,0.73,20000,300,5000,1310786
960626693,4,2,5,3,ICON_RANK_G3_Base,0,2,3,340,30,0.64,1.2,0.74,20000,300,5000,1310802
960626694,4,2,6,3,ICON_RANK_G3_Base,0,2,3,345,30,0.65,1.2,0.75,20000,300,5000,1310818
960626695,4,2,7,4,ICON_RANK_G4_Base,0,2,4,350,30,0.66,1.2,0.76,20000,300,5000,1310834
960626696,4,2,8,4,ICON_RANK_G4_Base,0,2,4,355,30,0.67,1.2,0.77,20000,300,5000,1310850
960626697,4,2,9,4,ICON_RANK_G4_Base,0,2,4,360,30,0.68,1.2,0.78,20000,300,5000,1310866
960626698,4,2,10,4,ICON_RANK_G4_Base,0,2,4,365,30,0.69,1.2,0.79,20000,300,5000,1310882
960626699,4,2,11,5,ICON_RANK_G5_Base,0,2,5,370,30,0.7,1.2,0.81,20000,300,5000,1310898
960626700,4,2,12,5,ICON_RANK_G5_Base,0,2,5,375,30,0.71,1.2,0.83,20000,300,5000,1310914
960626701,4,2,13,5,ICON_RANK_G5_Base,0,2,5,380,30,0.72,1.2,0.85,20000,300,5000,1310930
960626702,4,2,14,5,ICON_RANK_G5_Base,0,2,5,385,30,0.73,1.2,0.87,20000,300,5000,1310946
