PrimaryKey,NameKey,DescKey,Prefab,WeaponPrefab,Grade,Type,Theme,isHunt,isSummon,FirstEpisode,DefenceGroup,ProjectileCount,AnimationType,DamageType,ActionType,DetectionRange,TrackingRange,HelpRange,SightAngle,SightRange,HearingRange,AttackRange,HitEffectGroup,WarheadSpeed,ForceMin,ForceMax,SpeedRun,SpeedWalk,SpeedRotation,StatsValue,AbyssPoint,GoldenPoint,SkillPoint
319885313,1879048196,1895825412,NPC_NORMAL_WESTERN18C_NORMAL_KNIFE_01,ITEM_WEAPON_KNIFE_01_G01_NPC,1,1,1,1,1,1,1,1,0,0,0,20000,50000,7500,45,7500,3000,1800,0,0,4,6,4.2,0.85,1,14110,3,1,1
319885569,1879048197,1895825413,NPC_NORMAL_WESTERN18C_NORMAL_PISTOL_01,ITEM_WEAPON_PISTOL_01_G01_NPC,1,1,1,1,1,1,0,1,1,1,0,20000,50000,7500,45,7500,3000,9000,0,18,4,6,3.8,0.85,1,14111,3,1,1
319886081,1879048198,1895825414,NPC_NORMAL_WESTERN18C_NORMAL_AR_01,ITEM_WEAPON_AR_01_G01,1,1,1,1,1,1,0,1,3,1,0,20000,50000,7500,45,7500,3000,15000,0,28,4,6,3.25,0.85,1,14113,3,1,1
319887105,1879048199,1895825415,NPC_NORMAL_WESTERN18C_NORMAL_GRENADE_01,ITEM_WEAPON_GRENADE_01_G01,1,1,1,1,1,1,0,1,8,2,2,20000,50000,7500,45,7500,3000,15000,2109698,0,8,12,3.8,0.85,1,14117,3,1,1
319886593,1879048200,1895825416,NPC_NORMAL_WESTERN18C_NORMAL_SR_01,ITEM_WEAPON_SR_01_G01,1,1,1,1,1,1,0,1,7,1,0,20000,50000,7500,15,20000,3000,20000,0,45,4,6,3.25,0.85,1,14115,3,1,1
319886082,1879048201,1895825417,NPC_NORMAL_WESTERN18C_NORMAL_AR_02,ITEM_WEAPON_AR_01_G01,1,1,1,1,1,1,0,1,3,1,0,20000,50000,7500,45,7500,3000,15000,0,28,4,6,3.25,0.85,1,14113,3,1,1
320933889,1879048202,1895825418,NPC_ELITE_WESTERN18C_NORMAL_KNIFE_01,ITEM_WEAPON_KNIFE_01_G01_NPC2,2,1,1,1,1,1,1,1,0,0,0,20000,50000,10000,45,7500,3000,1800,0,0,4,6,4.2,0.85,1,14210,5,2,2
320934145,1879048203,1895825419,NPC_ELITE_WESTERN18C_NORMAL_PISTOL_01,ITEM_WEAPON_PISTOL_01_G01,2,1,1,1,1,1,0,1,1,1,0,20000,50000,10000,45,7500,3000,9000,0,18,4,6,3.8,0.85,1,14211,5,2,2
320934657,1879048204,1895825420,NPC_ELITE_WESTERN18C_NORMAL_AR_01,ITEM_WEAPON_AR_01_G01,2,1,1,1,1,1,0,1,3,1,0,20000,50000,10000,90,7500,3000,15000,0,28,4,6,3.25,0.85,1,14213,5,2,2
323031810,1879048205,1895825421,NPC_ELITE_WESTERN18C_NORMAL_AR_02,BOSS_WESTERN18C_01,4,1,1,1,1,1,0,8,3,1,0,20000,50000,10000,90,7500,3000,15000,0,28,4,6,3.25,0.85,1,14413,5,2,2
