PrimaryKey,Group,SelectionFactor,NPCKey
352321537,0,1,319885313
352321538,1,1,319885313
352321539,1,1,319950849
352321540,2,2,319885313
352321541,2,1,320933889
352321542,2,2,319950849
352321543,2,1,320999425
352321544,3,1,319885313
352321545,3,1,320933889
352321546,3,1,319950849
352321547,3,1,320999425
352321548,4,2,319885313
352321549,4,2,320933889
352321550,4,2,319950849
352321551,4,2,320999425
352321552,4,1,319885569
352321553,5,6,319885313
352321554,5,6,320933889
352321555,5,6,319950849
352321556,5,6,320999425
352321557,5,2,319885569
352321558,5,1,319952385
352321559,6,6,319885313
352321560,6,6,320933889
352321561,6,6,319950849
352321562,6,6,320999425
352321563,6,1,319952385
352321564,6,1,321000705
352321565,7,3,320933889
352321566,7,3,320999425
352321567,7,1,321000705
352321568,8,3,320933889
352321569,8,3,320999425
352321570,8,1,323031810
352321571,8,1,321000705
352321572,9,2,319885313
352321573,9,2,319885569
352321574,9,1,320933889
352321575,9,1,320934145
352321576,10,2,319885313
352321577,10,2,319885569
352321578,10,2,319886081
352321579,10,1,320933889
352321580,10,1,320934145
352321581,10,1,320934657
352321582,11,2,319885313
352321583,11,2,319885569
352321584,11,2,319886081
352321585,11,2,319887105
352321586,11,1,320933889
352321587,11,1,320934145
352321588,11,1,320934657
352321589,11,1,320935681
352321590,12,2,319885313
352321591,12,2,319885569
352321592,12,2,319886081
352321593,12,2,319887105
352321594,12,2,319886593
352321595,12,2,319886081
352321596,12,1,320933889
352321597,12,1,320934145
352321598,12,1,320934657
352321599,12,1,320935681
352321600,12,1,320935169
352321601,13,4,319950849
352321602,13,4,319951105
352321603,13,4,319951617
352321604,13,4,319952385
352321605,13,4,319952641
352321606,13,4,319952897
352321607,13,4,319952129
352321608,13,2,319959809
352321609,13,2,319960833
352321610,13,2,320999425
352321611,13,2,320999681
352321612,13,2,321000193
352321613,13,2,321000961
352321614,13,2,321001217
352321615,13,2,321000705
352321616,13,1,321009409
352321617,14,4,319885313
352321618,14,4,319885569
352321619,14,4,319886081
352321620,14,4,319887105
352321621,14,4,319886593
352321622,14,4,319886081
352321623,14,2,320933889
352321624,14,2,320934145
352321625,14,2,320934657
352321626,14,2,320935681
352321627,14,2,320935169
352321628,14,4,319950849
352321629,14,4,319951105
352321630,14,4,319951617
352321631,14,4,319952385
352321632,14,4,319952641
352321633,14,4,319952897
352321634,14,4,319952129
352321635,14,2,319959809
352321636,14,2,319960833
352321637,14,2,320999425
352321638,14,2,320999681
352321639,14,2,321000193
352321640,14,2,321000961
352321641,14,2,321001217
352321642,14,1,321008897
352321643,14,1,321009409
