PrimaryKey,Level,HitRate,PowerAttack,PowerDefence,HP,AimTime,SelectionFactorAttack,SelectionFactorSkillGroup,AttackSkillGroup,HPSkillGroup25,HPSkillGroup50,HPSkillGroup75,ContinuouslySkillGroup,RewardGroup,MidiumRewardGroup10,MidiumRewardGroup20,MidiumRewardGroup30,MidiumRewardGroup40,MidiumRewardGroup50,MidiumRewardGroup60,MidiumRewardGroup70,MidiumRewardGroup80,MidiumRewardGroup90
340918277,5,2000,19,60,4324,0,,,0,0,0,0,0,3473489,3276881,3276881,3276881,3276881,3473489,3276881,3276881,3276881,3276881
340918282,10,2000,28,66,5313,0,,,0,0,0,0,0,3473569,3276961,3276961,3276961,3276961,3473569,3276961,3276961,3276961,3276961
340918287,15,2000,28,66,5933,0,,,0,0,0,0,0,3473649,3277041,3277041,3277041,3277041,3473649,3277041,3277041,3277041,3277041
340918292,20,2000,35,71,7123,0,,,0,0,0,0,0,3473729,3277121,3277121,3277121,3277121,3473729,3277121,3277121,3277121,3277121
340918297,25,2000,35,71,7844,0,,,0,0,0,0,0,3473809,3277201,3277201,3277201,3277201,3473809,3277201,3277201,3277201,3277201
340918302,30,2000,44,77,9251,0,,,0,0,0,0,0,3473889,3277281,3277281,3277281,3277281,3473889,3277281,3277281,3277281,3277281
340918307,35,2000,53,82,10801,0,,,0,0,0,0,0,3473969,3277361,3277361,3277361,3277361,3473969,3277361,3277361,3277361,3277361
340918312,40,2000,53,82,11719,0,,,0,0,0,0,0,3474049,3277441,3277441,3277441,3277441,3474049,3277441,3277441,3277441,3277441
340918317,45,2000,53,82,12666,0,,,0,0,0,0,0,3474129,3277521,3277521,3277521,3277521,3474129,3277521,3277521,3277521,3277521
340918322,50,2000,61,88,14551,0,,,0,0,0,0,0,3474209,3277601,3277601,3277601,3277601,3474209,3277601,3277601,3277601,3277601
340918327,55,2000,61,88,15623,0,,,0,0,0,0,0,3474289,3277681,3277681,3277681,3277681,3474289,3277681,3277681,3277681,3277681
340918332,60,2000,70,93,17770,0,,,0,0,0,0,0,3474369,3277761,3277761,3277761,3277761,3474369,3277761,3277761,3277761,3277761
340918337,65,2000,70,93,18974,0,,,0,0,0,0,0,3474449,3277841,3277841,3277841,3277841,3474449,3277841,3277841,3277841,3277841
340918342,70,2000,70,93,20210,0,,,0,0,0,0,0,3474529,3277921,3277921,3277921,3277921,3474529,3277921,3277921,3277921,3277921
340918347,75,2000,79,99,22742,0,,,0,0,0,0,0,3474609,3278001,3278001,3278001,3278001,3474609,3278001,3278001,3278001,3278001
340918352,80,2000,79,99,24120,0,,,0,0,0,0,0,3474689,3278081,3278081,3278081,3278081,3474689,3278081,3278081,3278081,3278081
