PrimaryKey,Korea,English,Japanese,Chinese,German,Spanish,Portuguese,French,Italian,Dutch,Russian,Hungarian,Greek,Turkish,Vietnamese,Malay,Indonesian
1879048196,18C 서부 칼 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048197,18C 서부 권총 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048198,18C 서부 소총 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048199,18C 서부 수류탄 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048200,18C 서부 저격총 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048201,18C 서부 소총 일반 02 ( 일반 ),,,,,,,,,,,,,,,,
1879048202,18C 서부 칼 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048203,18C 서부 권총 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048204,18C 서부 소총 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048205,18C 서부 저격총 일반 01 ( 엘리트 스킬 ),,,,,,,,,,,,,,,,
1879048206,18C 서부 수류탄 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048207,18C 서부 저격총 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048208,18C 서부 소총 뚱뚱 01 ( 보스 ),,,,,,,,,,,,,,,,
1879048209,18C 서부 소총 뚱뚱 02 ( 보스 ),,,,1879048478,,,,,,,,,,,,
1879048210,18C 서부 소총 뚱뚱 03 ( 보스 ),,,,7000011E,,,,,,,,,,,,
1879048211,18C 서부 소총 뚱뚱 04 ( 보스 ),,,,,,,,,,,,,,,,
1879048212,20C 유럽 칼 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048213,20C 유럽 권총 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048214,20C 유럽 소총 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048215,20C 유럽 샷건 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048216,20C 유럽 수류탄 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048217,20C 유럽 화염병 일반 02 ( 일반 ),,,,,,,,,,,,,,,,
1879048218,20C 유럽 저격총 일반 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048219,20C 유럽 무인 소총 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048220,20C 유럽 무인 곡사 01 ( 일반 ),,,,,,,,,,,,,,,,
1879048221,20C 유럽 칼 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048222,20C 유럽 권총 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048223,20C 유럽 소총 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048224,20C 유럽 샷건 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048225,20C 유럽 수류탄 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048226,20C 유럽 화염병 일반 02 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048227,20C 유럽 저격총 일반 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048228,20C 유럽 무인 저격 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048229,20C 유럽 무인 곡사 01 ( 엘리트 ),,,,,,,,,,,,,,,,
1879048230,20C 유럽 소총 뚱뚱 01 ( 보스 ),,,,,,,,,,,,,,,,
1879048231,20C 유럽 소총 뚱뚱 02 ( 보스 ),,,,,,,,,,,,,,,,
1879048232,20C 유럽 소총 뚱뚱 03 ( 보스 ),,,,,,,,,,,,,,,,
1879048233,20C 유럽 소총 뚱뚱 04 ( 보스 ),,,,,,,,,,,,,,,,
1879048234,20C 유럽 소총 뚱뚱 05 ( 보스 ),,,,,,,,,,,,,,,,
1879048235,권총,Pistols,ピストル,手枪,Pistolen,Pistolas,Pistolas,Pistolets,Pistole,Pistolen,Пистолеты,Pisztoly,Πιστόλια,Tabanca,Súng lục,Pistol,Pistol
1879048236,소총,Rifles,ライフル,步枪,Gewehre,Rifles,Rifles,Fusils,Fucili,Geweren,Винтовки,Puskák,Τουφέκια,Tüfek,Súng trường,Senapang,Pasukan penembak
1879048237,다이너마이트,Dynamite,ダイナマイト,炸药,Dynamit,Dinamita,Dinamite,Dynamiter,Dinamite,Dynamiet,Динамит,Dinamit,Δυναμίτιδα,Dinamit,Thuốc nổ,Dinamit,Dinamit
1879048238,저격총,Snipers,狙撃兵,狙击手,Scharfschützen,Francotiradores,Snipers,Tireurs d'élite,Cecchini,Sluipschutters,Снайперы,Orvlövész,Σκοπευτές,Keskin nişancı,GNIPERS,Penembak tepat,Penembak jitu
1879048239,산탄총,Shotguns,ショットガン,shot弹枪,Schrotflinten,Escopetas,Espingardas,Fusil de chasse,Fucili da caccia,Jachtgeweren,Дробовики,Puskák,Κυνηγετικά όπλα,Av tüfeği,Súng ngắn,Senapang,Senapan
1879048240,크리스탈,Crystals,結晶,晶体,Kristalle,Cristales,Cristais,Cristaux,Cristalli,Kristallen,Кристаллы,Kristályok,Κρύσταλλα,Kristaller,Tinh thể,Kristal,Kristal
1879048241,크리스탈,Crystals,結晶,晶体,Kristalle,Cristales,Cristais,Cristaux,Cristalli,Kristallen,Кристаллы,Kristályok,Κρύσταλλα,Kristaller,Tinh thể,Kristal,Kristal
1879048242,코인,Coins,コイン,硬币,Münzen,Monedas,Moedas,Pièces de monnaie,Monete,Munten,Монеты,Érmék,Νομίσματα,Madeni para,đồng xu,Duit syiling,Koin
1879048243,티켓,Ticket,チケット,票,Fahrkarte,Boleto,Bilhete,Billet,Biglietto,Ticket,Билет,Jegy,Εισιτήριο,Bilet,Vé,Tiket,Tiket
1879048244,방어 모드 입장권,Ticket ( Defence Mode ),チケット（防御モード）,票（防御模式）,Ticket (Verteidigungsmodus),Boleto (modo de defensa),Ticket (modo de defesa),Ticket (mode de défense),Biglietto (Modalità di difesa),Ticket (defensiemodus),Билет (режим защиты),Jegy (védelmi mód),Εισιτήριο (λειτουργία άμυνας),Bilet (Savunma Modu),Vé (chế độ phòng thủ),Tiket (Mod Pertahanan),Tiket (mode pertahanan)
1879048245,키카드,Key Card,キーカード,钥匙卡,Schlüsselkarte,Tarjeta de llave,Cartão de acesso,Carte-clé,Chiave magnetica,Sleutelkaart,Ключ-карта,Kulcskártya,Κάρτα-κλειδί,Anahtar kart,Thẻ chìa khóa,Kad kunci,Kartu kunci
1879048246,회복,Recovery,回復,恢复,Erholung,Recuperación,Recuperação,Récupération,Recupero,Herstel,Восстановление,Felépülés,Ανάκτηση,İyileşmek,Sự hồi phục,Pemulihan,Pemulihan
1879048247,도구,Tools,ツール,工具,Werkzeuge,Herramientas,Ferramentas,Outils,Utensili,Hulpmiddelen,Инструменты,Szerszámok,Εργαλεία,Aletler,Công cụ,Alat,Peralatan
1879048248,제작 재료,Production material,生産資料,生产材料,Produktionsmaterial,Material de producción,Material de produção,Matériel de production,Materiale di produzione,Productiemateriaal,Производственный материал,Előállítási anyag,Υλικό παραγωγής,Üretim malzemesi,Tài liệu sản xuất,Bahan pengeluaran,Bahan produksi
1879048249,권총 부품,Pistol Scrap,ピストルスクラップ,手枪废料,Pistolenschrott,Chatarra,Sucata de pistola,Ferraille au pistolet,Scarto di pistola,Pistoolschroot,Пистолет,Pisztolyhulladék,Θύμα πιστόλι,Tabanca hurdası,Súng lục phế liệu,Pecet pistol,Memo pistol
1879048250,소총 부품,Rifle Scrap,ライフルスクラップ,步枪废料,Gewehrschrott,Chatarra de rifle,Sucata de espingarda,Ferraille,Scarto di fucile,Geweerschroot,Винтовка лома,Puskahulladék,Όπλο,Tüfek hurdası,Súng trường phế liệu,Scrap Rifle,Memo senapan
1879048251,수류탄 부품,Explosive Scrap,爆発的なスクラップ,爆炸废料,Sprengschrott,Chatarra explosiva,Sucata explosiva,Ferraille explosif,Scarto esplosivo,Explosief schroot,Взрывной лом,Robbanóhulladék,Εκρηκτικό θραύσμα,Patlayıcı hurda,Phế liệu nổ,Sekerap letupan,Memo eksplosif
1879048252,산탄총 부품,Shotgun Scrap,ショットガンスクラップ,shot弹枪废料,Schrotflintenschrott,Chatarra,Sucata de espingarda,Ferraille,Scarto di fucile,Shotgun schroot,Дробовик,Puskahulladék,Θύμα όπλου,Av tüfeği hurdası,Súng ngắn phế liệu,Potongan senapang patah,SCRAP SHOTGUN
1879048253,저격총 부품,Sniper Scrap,スナイパースクラップ,狙击手废料,Scharfschützenschrott,Chatarra,Scrap Scrap,Tireur d'élite,Scarto da cecchino,Sluipscherm,Снайперский лом,Orvlövészhulladék,Θύμα σκοπευτών,Keskin nişancı hurdası,Sniper phế liệu,Scrap sniper,Memo sniper
1879048254,보안관,Sheriff,シェリフ,警长,Sheriff,Alguacil,Xerife,Shérif,Sceriffo,Sheriff,Шериф,Seriff,Σερίφης,Şerif,cảnh sát trưởng,Syerif,Sheriff
1879048255,경찰 특공대,SWAT,スワット,扑打,Klatsche,APLASTAR,GOLPE,ÉCRASER,SWAT,SWAT,спецназ,AGYONÜT,ΧΤΥΠΩ,SWAT,SWAT,SWAT,SWAT
1879048256,비밀 요원,Secret Agent,シークレットエージェント,密探,Geheimagent,Agente secreto,Agente secreto,Agent secret,Agente segreto,Geheim agent,Секретный агент,Titkos ügynök,Μυστικός πράκτορας,Gizli ajan,Đặc vụ bí mật,Agen rahsia,Agen rahasia
1879048257,현상금 사냥꾼,Bounty Hunter,賞金稼ぎ,赏金猎人,Kopfgeldjäger,Cazarrecompensas,Caçador de Recompensa,Chasseur de primes,Cacciatore di taglie,Premie Jager,Охотник за головами,Fejvadász,Κυνηγός επικυρηγμένων,Kelle avcısı,Thợ săn tiền thưởng,Pemburu Bounty,Pemburu Hadiah
1879048258,아바타5,Avatar 5,アバター5,阿凡达5,Avatar 5,Avatar 5,Avatar 5,Avatar 5,Avatar 5,Avatar 5,Аватар 5,Avatár 5,Avatar 5,Avatar 5,Avatar 5,Avatar 5,Avatar 5
