PrimaryKey,Level,TitleKey,Action,RequireCount,SelectionFactor,Order,Point,RewardsKey00,RewardsCount00,RewardsKey01,RewardsCount01
1090519041,1,1879048644,0,10,1,1,20,572207105,10,572272641,500
1090519042,1,1879048645,1,10,1,2,20,572198913,10,572272641,500
1090519049,1,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519050,1,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519051,1,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519052,1,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519053,1,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519054,1,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519055,1,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519056,1,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519057,2,1879048644,0,10,1,1,20,572207105,10,572272641,500
1090519058,2,1879048645,1,10,1,2,20,572198913,10,572272641,500
1090519065,2,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519066,2,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519067,2,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519068,2,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519069,2,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519070,2,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519071,2,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519072,2,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519073,3,1879048644,0,10,1,1,20,572207105,10,572272641,500
1090519074,3,1879048645,1,10,1,2,20,572198913,10,572272641,500
1090519080,3,1879048651,7,5,1,8,20,572268545,2,572272641,500
1090519081,3,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519082,3,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519083,3,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519084,3,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519085,3,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519086,3,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519087,3,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519088,3,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519089,4,1879048644,0,10,1,1,20,572207105,10,572272641,500
1090519090,4,1879048645,1,10,1,2,20,572198913,10,572272641,500
1090519091,4,1879048646,2,3,1,3,20,572268545,2,572272641,500
1090519096,4,1879048651,7,5,1,8,20,572268545,2,572272641,500
1090519097,4,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519098,4,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519099,4,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519100,4,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519101,4,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519102,4,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519103,4,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519104,4,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519105,5,1879048644,0,10,1,1,20,572207105,10,572272641,500
1090519106,5,1879048645,1,10,1,2,20,572198913,10,572272641,500
1090519107,5,1879048646,2,3,1,3,20,572268545,2,572272641,500
1090519108,5,1879048647,3,2,1,4,20,572461058,1,572272641,500
1090519112,5,1879048651,7,5,1,8,20,572268545,2,572272641,500
1090519113,5,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519114,5,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519115,5,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519116,5,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519117,5,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519118,5,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519119,5,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519120,5,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519121,6,1879048644,0,10,1,1,20,572207105,10,572272641,500
1090519122,6,1879048645,1,10,1,2,20,572198913,10,572272641,500
1090519123,6,1879048646,2,3,1,3,20,572268545,2,572272641,500
1090519124,6,1879048647,3,2,1,4,20,572461058,1,572272641,500
1090519125,6,1879048648,4,1,1,5,20,572284929,1,572272641,500
1090519128,6,1879048651,7,5,1,8,20,572268545,2,572272641,500
1090519129,6,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519130,6,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519131,6,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519132,6,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519133,6,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519134,6,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519135,6,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519136,6,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519137,7,1879048644,0,10,1,1,20,572067841,10,572272641,500
1090519138,7,1879048645,1,10,1,2,20,572071937,10,572272641,500
1090519139,7,1879048646,2,3,1,3,20,572268545,2,572272641,500
1090519140,7,1879048647,3,2,1,4,20,572461058,1,572272641,500
1090519141,7,1879048648,4,1,1,5,20,572284929,2,572272641,500
1090519143,7,1879048650,6,2,1,7,20,572076033,10,572272641,500
1090519144,7,1879048651,7,5,1,8,20,572080129,10,572272641,500
1090519145,7,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519146,7,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519147,7,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519148,7,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519149,7,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519150,7,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519151,7,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519152,7,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519153,11,1879048644,0,10,1,1,20,572067841,10,572272641,500
1090519154,11,1879048645,1,10,1,2,20,572071937,10,572272641,500
1090519155,11,1879048646,2,3,1,3,20,572268545,2,572272641,500
1090519156,11,1879048647,3,2,1,4,20,572461058,1,572272641,500
1090519157,11,1879048648,4,1,1,5,20,572284929,2,572272641,500
1090519159,11,1879048650,6,2,1,7,20,572076033,10,572272641,500
1090519160,11,1879048651,7,5,1,8,20,572080129,10,572272641,500
1090519161,11,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519162,11,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519163,11,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519164,11,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519165,11,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519166,11,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519167,11,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519168,11,1879048659,15,10,1,16,20,572350465,20,572272641,500
1090519169,12,1879048644,0,10,1,1,20,572067841,10,572272641,500
1090519170,12,1879048645,1,10,1,2,20,572071937,10,572272641,500
