PrimaryKey,Category,TypeKey,TitleKey,RewardExp,RewardWorkshopExp,Type,AvailableWorkshopLevel,Order,SymbolItemKey,IsRandom,isMassiveMaterial,TypeHigh,TypeLow,TypeGrade,NeedCount,CostItemKey,CostItemCount,OutputGroup,OutputCount
16777217,1,1879048457,1879048247,0,10,1,1,,572284929,0,1,13,0,1,1000,572272641,10000,4259857,1
16777218,1,1879048458,1879048461,0,20,2,2,,573181953,1,0,10,0,1,3,572272641,5000,4259858,1
16777219,1,1879048458,1879048462,0,30,2,4,,574230529,1,0,10,0,2,4,572272641,10000,4325395,1
16777220,1,1879048459,1879048460,0,10,3,3,,572133377,0,0,10,0,1,4,572272641,10000,4259860,1
16777221,1,1879048459,1879048461,0,20,3,5,,573181953,0,0,10,0,2,5,572272641,20000,4325397,1
16777222,1,1879048459,1879048462,0,30,3,7,,574230529,0,0,10,0,3,6,572272641,40000,4390934,1
16777223,1,1879048458,1879048465,0,20,2,2,,572985345,1,0,7,0,1,3,572272641,5000,4259863,1
16777224,1,1879048458,1879048466,0,30,2,4,,574033921,1,0,7,0,2,4,572272641,10000,4325400,1
16777225,1,1879048642,1879048464,0,10,4,3,,571936769,0,0,7,0,1,4,572272641,10000,4259865,1
16777226,1,1879048642,1879048465,0,20,4,5,,572985345,0,0,7,0,2,5,572272641,20000,4325402,1
16777227,1,1879048642,1879048466,0,30,4,7,,574033921,0,0,7,0,3,6,572272641,40000,4390939,1
16777228,1,1879048458,1879048282,0,5,2,1,,571785471,0,1,4,0,1,150,572272641,500,4259868,30
16777229,1,1879048458,1879048283,0,10,2,2,,572838143,0,1,4,0,2,150,572272641,2500,4325405,30
16777230,1,1879048458,1879048284,0,15,2,3,,573890815,0,1,4,0,3,150,572272641,5000,4390942,30
16777231,0,1879048569,1879048577,0,15,12,1,,588320769,1,1,12,7,1,10,572272641,5000,4259841,1
16777232,0,1879048570,1879048577,0,15,13,1,,588386305,1,1,12,7,1,10,572272641,5000,4259842,1
16777233,0,1879048571,1879048577,0,15,14,1,,588451841,1,1,12,7,1,10,572272641,5000,4259843,1
16777234,0,1879048572,1879048577,0,15,15,1,,588517377,1,1,12,7,1,10,572272641,5000,4259844,1
16777235,0,1879048569,1879048578,0,25,12,3,,589369345,1,0,2,1,1,3,572272641,10000,4259845,1
16777236,0,1879048570,1879048578,0,25,13,3,,589434881,1,0,2,2,1,3,572272641,10000,4259846,1
16777237,0,1879048571,1879048578,0,25,14,3,,589500417,1,0,2,3,1,3,572272641,10000,4259847,1
16777238,0,1879048572,1879048578,0,25,15,3,,589565953,1,0,2,4,1,3,572272641,10000,4259848,1
16777239,0,1879048569,1879048579,0,40,12,6,,590417921,1,0,2,1,2,4,572272641,20000,4325377,1
16777240,0,1879048570,1879048579,0,40,13,6,,590483457,1,0,2,2,2,4,572272641,20000,4325378,1
16777241,0,1879048571,1879048579,0,40,14,6,,590548993,1,0,2,3,2,4,572272641,20000,4325379,1
16777242,0,1879048572,1879048579,0,40,15,6,,590614529,1,0,2,4,2,4,572272641,20000,4325380,1
16777243,0,1879048569,1879048580,0,60,12,8,,591466497,1,0,2,1,3,5,572272641,30000,4390913,1
16777244,0,1879048570,1879048580,0,60,13,8,,591532033,1,0,2,2,3,5,572272641,30000,4390914,1
16777245,0,1879048571,1879048580,0,60,14,8,,591597569,1,0,2,3,3,5,572272641,30000,4390915,1
16777246,0,1879048572,1879048580,0,60,15,8,,591663105,1,0,2,4,3,5,572272641,30000,4390916,1
