PrimaryKey,Group,SelectionCount,SelectionType,SelectionFactor,RewardListGroup,ItemKey,Icon,MinCount,MaxCount
1610612737,3211345,3,0,100,4353,0,0,0,0
1610612738,3211345,3,0,100,4609,0,0,0,0
1610612739,3211345,3,0,10,4354,0,0,0,0
1610612740,3211345,3,0,4,2701136385,0,0,0,0
1610612741,3211345,3,0,50,2701136137,0,0,0,0
1610612742,3211345,3,0,0,2432700676,0,0,0,0
1610612743,3211345,3,0,0,2432700675,0,0,0,0
1610612744,3211345,3,0,50,16797967,0,0,0,0
1610612745,3276881,3,0,50,4353,0,0,0,0
1610612746,3276881,3,0,50,4609,0,0,0,0
1610612747,3276881,3,0,5,4354,0,0,0,0
1610612748,3276881,3,0,2,16781826,0,0,0,0
1610612749,3276881,3,0,20,2701136137,0,0,0,0
1610612750,3276881,3,0,0,2432700676,0,0,0,0
1610612751,3276881,3,0,0,2432700675,0,0,0,0
1610612752,3276881,3,0,20,16797967,0,0,0,0
1610612753,3342417,8,0,15,4353,0,0,0,0
1610612754,3342417,8,0,15,4609,0,0,0,0
1610612755,3342417,8,0,15,4865,0,0,0,0
1610612756,3342417,8,0,15,16781826,0,0,0,0
1610612757,3342417,8,0,15,16781826,0,0,0,0
1610612758,3342417,8,0,15,2701136385,0,0,0,0
1610612759,3342417,8,0,15,2717913353,0,0,0,0
1610612760,3342417,8,0,0,2432700676,0,0,0,0
1610612761,3342417,8,0,0,2432700675,0,0,0,0
1610612762,3342417,8,0,30,16797967,0,0,0,0
1610612763,3211425,2,0,100,4353,0,0,0,0
1610612764,3211425,2,0,100,4609,0,0,0,0
1610612765,3211425,2,0,10,4354,0,0,0,0
1610612766,3211425,2,0,4,2701136641,0,0,0,0
1610612767,3211425,2,0,50,2701136138,0,0,0,0
1610612768,3211425,2,0,0,2432700676,0,0,0,0
1610612769,3211425,2,0,0,2432700675,0,0,0,0
1610612770,3211425,2,0,50,16818447,0,0,0,0
1610612771,3276961,3,0,50,4353,0,0,0,0
1610612772,3276961,3,0,50,4609,0,0,0,0
1610612773,3276961,3,0,5,4354,0,0,0,0
1610612774,3276961,3,0,2,33559042,0,0,0,0
1610612775,3276961,3,0,20,2701136138,0,0,0,0
1610612776,3276961,3,0,0,2432700676,0,0,0,0
1610612777,3276961,3,0,0,2432700675,0,0,0,0
1610612778,3276961,3,0,20,16818447,0,0,0,0
1610612779,3342497,8,0,15,4353,0,0,0,0
1610612780,3342497,8,0,15,4609,0,0,0,0
1610612781,3342497,8,0,15,4865,0,0,0,0
1610612782,3342497,8,0,15,33559042,0,0,0,0
1610612783,3342497,8,0,15,33559042,0,0,0,0
1610612784,3342497,8,0,15,2701136641,0,0,0,0
1610612785,3342497,8,0,15,2717913354,0,0,0,0
1610612786,3342497,8,0,0,2432700676,0,0,0,0
1610612787,3342497,8,0,0,2432700675,0,0,0,0
1610612788,3342497,8,0,30,16818447,0,0,0,0
1610612789,3211505,2,0,100,4353,0,0,0,0
1610612790,3211505,2,0,100,4609,0,0,0,0
1610612791,3211505,2,0,10,4354,0,0,0,0
1610612792,3211505,2,0,4,2701136641,0,0,0,0
1610612793,3211505,2,0,50,2701136138,0,0,0,0
1610612794,3211505,2,0,0,2432700676,0,0,0,0
1610612795,3211505,2,0,0,2432700675,0,0,0,0
1610612796,3211505,2,0,50,16838927,0,0,0,0
1610612797,3277041,3,0,50,4353,0,0,0,0
1610612798,3277041,3,0,50,4609,0,0,0,0
1610612799,3277041,3,0,5,4354,0,0,0,0
1610612800,3277041,3,0,2,33559042,0,0,0,0
1610612801,3277041,3,0,20,2701136138,0,0,0,0
1610612802,3277041,3,0,0,2432700676,0,0,0,0
1610612803,3277041,3,0,0,2432700675,0,0,0,0
1610612804,3277041,3,0,20,16838927,0,0,0,0
1610612805,3342577,8,0,15,4353,0,0,0,0
1610612806,3342577,8,0,15,4609,0,0,0,0
1610612807,3342577,8,0,15,4865,0,0,0,0
1610612808,3342577,8,0,15,33559042,0,0,0,0
1610612809,3342577,8,0,15,33559042,0,0,0,0
1610612810,3342577,8,0,15,2701136641,0,0,0,0
1610612811,3342577,8,0,15,2717913354,0,0,0,0
1610612812,3342577,8,0,0,2432700676,0,0,0,0
1610612813,3342577,8,0,0,2432700675,0,0,0,0
1610612814,3342577,8,0,30,16838927,0,0,0,0
1610612815,3211585,2,0,100,4353,0,0,0,0
1610612816,3211585,2,0,100,4609,0,0,0,0
1610612817,3211585,2,0,10,4354,0,0,0,0
1610612818,3211585,2,0,4,2701136897,0,0,0,0
1610612819,3211585,2,0,50,2701136139,0,0,0,0
1610612820,3211585,2,0,0,2432700676,0,0,0,0
1610612821,3211585,2,0,0,2432700675,0,0,0,0
1610612822,3211585,2,0,50,16859407,0,0,0,0
1610612823,3277121,3,0,50,4353,0,0,0,0
1610612824,3277121,3,0,50,4609,0,0,0,0
1610612825,3277121,3,0,5,4354,0,0,0,0
1610612826,3277121,3,0,2,50336259,0,0,0,0
1610612827,3277121,3,0,20,2701136139,0,0,0,0
1610612828,3277121,3,0,0,2432700676,0,0,0,0
1610612829,3277121,3,0,0,2432700675,0,0,0,0
1610612830,3277121,3,0,20,16859407,0,0,0,0
