PrimaryKey,Group,SelectionFactor,RewardKey,RewardCountMin,RewardCountMax
1627389953,4353,1,0,1,1
1627389954,4609,1,0,1,1
1627389955,4865,1,0,1,1
1627389956,4354,1,788529153,1,1
1627389957,4043313409,1,538009601,1,1
1627389958,4043313410,1,572329985,10,10
1627389959,4043313411,1,572272641,500,500
1627389960,4043317505,1,538120193,1,1
1627389961,4043317506,1,572329985,10,10
1627389962,4043317507,1,572272641,500,500
1627389963,4043321601,1,538136577,1,1
1627389964,4043321602,1,572329985,10,10
1627389965,4043321603,1,572272641,500,500
1627389966,4043325698,1,572329985,10,10
1627389967,4043325698,1,572338177,10,10
1627389968,4043325699,1,572272641,500,500
1627389969,4043329794,1,572329985,10,10
1627389970,4043329794,1,572338177,10,10
1627389971,4043329795,1,572272641,500,500
1627389972,4043333891,1,572272641,500,500
1627389973,4043337987,1,572272641,500,500
1627389974,4043342082,1,572461057,1,1
1627389975,4043342083,1,572133377,1,1
1627389976,4043342085,1,571785471,100,100
1627389977,2701136129,64,537989121,1,1
1627389978,2701136129,64,537993217,1,1
1627389979,2701136129,64,537997313,1,1
1627389980,2701136129,64,538001409,1,1
1627389981,2701136129,64,538005505,1,1
1627389982,2701136129,64,538009601,1,1
1627389983,2701136129,64,538013697,1,1
1627389984,2701136129,64,538017793,1,1
1627389985,2701136129,64,538021889,1,1
1627389986,2701136129,64,538025985,1,1
1627389987,2701136129,64,538120193,1,1
1627389988,2701136129,64,538124289,1,1
1627389989,2701136129,64,538128385,1,1
1627389990,2701136129,64,538132481,1,1
1627389991,2701136129,64,538136577,1,1
1627389992,2701136129,64,538251265,1,1
1627389993,2701136129,64,538255361,1,1
1627389994,2701136129,64,538259457,1,1
1627389995,2701136129,64,538263553,1,1
1627389996,2701136129,64,538382337,1,1
1627389997,2701136129,64,538386433,1,1
1627389998,2701136129,64,538390529,1,1
1627389999,2701136129,64,538394625,1,1
1627390000,2701136129,64,538398721,1,1
1627390001,2701136129,64,538402817,1,1
1627390002,2701136129,64,538316801,1,1
1627390003,2701136129,64,538320897,1,1
1627390004,2701136129,64,538324993,1,1
1627390005,2701136129,64,538329089,1,1
1627390006,2701136129,16,539037697,1,1
1627390007,2701136129,16,539041793,1,1
1627390008,2701136129,16,539045889,1,1
1627390009,2701136129,16,539049985,1,1
1627390010,2701136129,16,539054081,1,1
1627390011,2701136129,16,539058177,1,1
1627390012,2701136129,16,539062273,1,1
1627390013,2701136129,16,539066369,1,1
1627390014,2701136129,16,539070465,1,1
1627390015,2701136129,16,539074561,1,1
1627390016,2701136129,16,539168769,1,1
1627390017,2701136129,16,539172865,1,1
1627390018,2701136129,16,539176961,1,1
1627390019,2701136129,16,539181057,1,1
1627390020,2701136129,16,539185153,1,1
1627390021,2701136129,16,539299841,1,1
1627390022,2701136129,16,539303937,1,1
1627390023,2701136129,16,539308033,1,1
1627390024,2701136129,16,539312129,1,1
1627390025,2701136129,16,539430913,1,1
1627390026,2701136129,16,539435009,1,1
1627390027,2701136129,16,539439105,1,1
1627390028,2701136129,16,539443201,1,1
1627390029,2701136129,16,539447297,1,1
1627390030,2701136129,16,539451393,1,1
1627390031,2701136129,16,539365377,1,1
1627390032,2701136129,16,539369473,1,1
1627390033,2701136129,16,539373569,1,1
1627390034,2701136129,16,539377665,1,1
1627390035,2701136129,4,540086273,1,1
1627390036,2701136129,4,540090369,1,1
1627390037,2701136129,4,540094465,1,1
1627390038,2701136129,4,540098561,1,1
1627390039,2701136129,4,540102657,1,1
1627390040,2701136129,4,540106753,1,1
1627390041,2701136129,4,540110849,1,1
1627390042,2701136129,4,540114945,1,1
1627390043,2701136129,4,540119041,1,1
1627390044,2701136129,4,540123137,1,1
1627390045,2701136129,4,540217345,1,1
1627390046,2701136129,4,540221441,1,1
1627390047,2701136129,4,540225537,1,1
1627390048,2701136129,4,540229633,1,1
1627390049,2701136129,4,540233729,1,1
1627390050,2701136129,4,540348417,1,1
1627390051,2701136129,4,540352513,1,1
1627390052,2701136129,4,540356609,1,1
1627390053,2701136129,4,540360705,1,1
1627390054,2701136129,4,540479489,1,1
