PrimaryKey,NameKey,DescKey,Level,Order,Weapon,UseType,SkillType,SkillAniType,AttackType,DamageType,ratioAttackPower,CastingTime,InvokeTime,HitEffectGroup,UpgradeMaterialKey00,UpgradeMaterialCount00,UpgradeMaterialKey01,UpgradeMaterialCount01,RequirePoint
369099025,,NaN,1,1,NaN,1,513,2,1,2,1.2,0,0,2101506,0,,0,,0
369099281,,NaN,1,1,NaN,1,257,1,0,1,1.2,0,0,0,0,,0,,0
369099537,,NaN,1,1,NaN,1,515,2,1,2,1.2,0,0,2105603,0,,0,,0
369099793,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,9,0,,0,,0
369100049,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,10,0,,0,,0
369100305,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,11,0,,0,,0
369100561,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,12,0,,0,,0
369100817,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,12,0,,0,,0
369101073,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,13,0,,0,,0
369101329,,NaN,1,1,NaN,1,1,0,0,0,0.25,0,0,14,0,,0,,0
369101585,,NaN,1,1,NaN,1,2,0,0,0,0,0,0,3150081,0,,0,,0
369101841,,NaN,1,1,NaN,1,2,0,0,0,0,0,0,3150082,0,,0,,0
369102097,,NaN,1,1,NaN,1,2,0,0,0,0,0,0,3150083,0,,0,,0
369102353,,NaN,1,1,NaN,1,514,2,1,2,1.5,0,0,2109697,0,,0,,0
369102609,,NaN,1,1,NaN,1,769,4,15,2,1.15,0,0,2101509,0,,0,,0
369102865,,NaN,1,1,NaN,1,770,5,15,0,1.25,1000,1500,2117903,0,,0,,0
369103121,,NaN,1,1,NaN,1,771,0,15,2,0.5,500,500,2101508,0,,0,,0
369103377,,NaN,1,1,NaN,1,513,2,1,2,1.2,0,0,2101506,0,,0,,0
369103633,,NaN,1,1,NaN,1,257,1,0,1,1,0,0,0,0,,0,,0
369103889,,NaN,1,1,NaN,1,771,0,15,0,1,500,500,15737091,0,,0,,0
369104145,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7348481,575934465,2,572272641,5000,0
369104402,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7348482,575934465,2,572272641,5000,0
369104659,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7348483,575934465,2,572272641,5000,0
369104916,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7348484,575934465,5,572272641,5000,0
369105173,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7348485,575934465,5,572272641,10000,0
369105430,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7348486,575934465,5,572272641,10000,0
369105687,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7348487,575934465,10,572272641,10000,0
369105944,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7348488,575934465,10,572272641,10000,0
369106201,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7348489,575934465,10,572272641,10000,0
369106458,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7348490,575934465,15,572272641,15000,0
369106705,,NaN,1,1,NaN,1,774,6,15,NaN,,,,7447041,0,0,0,0,8
369106961,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7741697,575934465,2,572272641,5000,0
369107218,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7741698,575934465,2,572272641,5000,0
369107475,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7741699,575934465,2,572272641,5000,0
369107732,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7741700,575934465,5,572272641,5000,0
369107989,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7741701,575934465,5,572272641,10000,0
369108246,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7741702,575934465,5,572272641,10000,0
369108503,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7741703,575934465,10,572272641,10000,0
369108760,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7741704,575934465,10,572272641,10000,0
369109017,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7741705,575934465,10,572272641,10000,0
369109274,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7741706,575934465,15,572272641,15000,0
369109521,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7745793,575934465,2,572272641,5000,0
369109778,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7745794,575934465,2,572272641,5000,0
369110035,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7745795,575934465,2,572272641,5000,0
369110292,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7745796,575934465,5,572272641,5000,0
369110549,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7745797,575934465,5,572272641,10000,0
369110806,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7745798,575934465,5,572272641,10000,0
369111063,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7745799,575934465,10,572272641,10000,0
369111320,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7745800,575934465,10,572272641,10000,0
369111577,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7745801,575934465,10,572272641,10000,0
369111834,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7745802,575934465,15,572272641,15000,0
369112081,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7479553,575934465,2,572272641,5000,0
369112338,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7479554,575934465,2,572272641,5000,0
369112595,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7479555,575934465,2,572272641,5000,0
369112852,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7479556,575934465,5,572272641,5000,0
369113109,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7479557,575934465,5,572272641,10000,0
369113366,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7479558,575934465,5,572272641,10000,0
369113623,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7479559,575934465,10,572272641,10000,0
369113880,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7479560,575934465,10,572272641,10000,0
369114137,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7479561,575934465,10,572272641,10000,0
369114394,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7479562,575934465,15,572272641,15000,0
369114641,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7409921,575934465,2,572272641,5000,0
369114898,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7409922,575934465,2,572272641,5000,0
369115155,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7409923,575934465,2,572272641,5000,0
369115412,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7409924,575934465,5,572272641,5000,0
369115669,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7409925,575934465,5,572272641,10000,0
369115926,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7409926,575934465,5,572272641,10000,0
369116183,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7409927,575934465,10,572272641,10000,0
369116440,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7409928,575934465,10,572272641,10000,0
369116697,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7409929,575934465,10,572272641,10000,0
369116954,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7409930,575934465,15,572272641,15000,0
369117217,,NaN,1,2,NaN,2,1024,0,15,NaN,,,,7475457,575934465,2,572272641,5000,0
369117474,,NaN,2,2,NaN,2,1024,0,15,NaN,,,,7475458,575934465,2,572272641,5000,0
369117731,,NaN,3,2,NaN,2,1024,0,15,NaN,,,,7475459,575934465,2,572272641,5000,0
369117988,,NaN,4,2,NaN,2,1024,0,15,NaN,,,,7475460,575934465,5,572272641,5000,0
369118245,,NaN,5,2,NaN,2,1024,0,15,NaN,,,,7475461,575934465,5,572272641,10000,0
369118502,,NaN,6,2,NaN,2,1024,0,15,NaN,,,,7475462,575934465,5,572272641,10000,0
369118759,,NaN,7,2,NaN,2,1024,0,15,NaN,,,,7475463,575934465,10,572272641,10000,0
369119016,,NaN,8,2,NaN,2,1024,0,15,NaN,,,,7475464,575934465,10,572272641,10000,0
369119273,,NaN,9,2,NaN,2,1024,0,15,NaN,,,,7475465,575934465,10,572272641,10000,0
369119530,,NaN,10,2,NaN,2,1024,0,15,NaN,,,,7475466,575934465,15,572272641,15000,0
369119761,,NaN,1,1,NaN,3,1024,0,15,NaN,,,,7708929,0,0,0,0,0
369120017,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7414017,575934465,2,572272641,5000,0
369120274,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7414018,575934465,2,572272641,5000,0
369120531,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7414019,575934465,2,572272641,5000,0
369120788,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7414020,575934465,5,572272641,5000,0
369121045,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7414021,575934465,5,572272641,10000,0
369121302,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7414022,575934465,5,572272641,10000,0
369121559,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7414023,575934465,10,572272641,10000,0
369121816,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7414024,575934465,10,572272641,10000,0
369122073,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7414025,575934465,10,572272641,10000,0
369122330,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7414026,575934465,15,572272641,15000,0
369122593,,NaN,1,2,NaN,2,1024,0,15,NaN,,,,7418113,575934465,2,572272641,5000,0
369122850,,NaN,2,2,NaN,2,1024,0,15,NaN,,,,7418114,575934465,2,572272641,5000,0
369123107,,NaN,3,2,NaN,2,1024,0,15,NaN,,,,7418115,575934465,2,572272641,5000,0
369123364,,NaN,4,2,NaN,2,1024,0,15,NaN,,,,7418116,575934465,5,572272641,5000,0
369123621,,NaN,5,2,NaN,2,1024,0,15,NaN,,,,7418117,575934465,5,572272641,10000,0
369123878,,NaN,6,2,NaN,2,1024,0,15,NaN,,,,7418118,575934465,5,572272641,10000,0
369124135,,NaN,7,2,NaN,2,1024,0,15,NaN,,,,7418119,575934465,10,572272641,10000,0
369124392,,NaN,8,2,NaN,2,1024,0,15,NaN,,,,7418120,575934465,10,572272641,10000,0
369124649,,NaN,9,2,NaN,2,1024,0,15,NaN,,,,7418121,575934465,10,572272641,10000,0
369124906,,NaN,10,2,NaN,2,1024,0,15,NaN,,,,7418122,575934465,15,572272641,15000,0
369125137,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7737601,575934465,2,572272641,5000,0
369125394,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7737602,575934465,2,572272641,5000,0
369125651,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7737603,575934465,2,572272641,5000,0
369125908,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7737604,575934465,5,572272641,5000,0
369126165,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7737605,575934465,5,572272641,10000,0
369126422,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7737606,575934465,5,572272641,10000,0
369126679,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7737607,575934465,10,572272641,10000,0
369126936,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7737608,575934465,10,572272641,10000,0
369127193,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7737609,575934465,10,572272641,10000,0
369127450,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7737610,575934465,15,572272641,15000,0
369127697,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7459073,575934465,2,572272641,5000,0
369127954,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7459074,575934465,2,572272641,5000,0
369128211,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7459075,575934465,2,572272641,5000,0
369128468,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7459076,575934465,5,572272641,5000,0
369128725,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7459077,575934465,5,572272641,10000,0
369128982,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7459078,575934465,5,572272641,10000,0
369129239,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7459079,575934465,10,572272641,10000,0
369129496,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7459080,575934465,10,572272641,10000,0
369129753,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7459081,575934465,10,572272641,10000,0
369130010,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7459082,575934465,15,572272641,15000,0
369130273,,NaN,1,2,NaN,2,1024,0,15,NaN,,,,7446785,575934465,2,572272641,5000,0
369130530,,NaN,2,2,NaN,2,1024,0,15,NaN,,,,7446786,575934465,2,572272641,5000,0
369130787,,NaN,3,2,NaN,2,1024,0,15,NaN,,,,7446787,575934465,2,572272641,5000,0
369131044,,NaN,4,2,NaN,2,1024,0,15,NaN,,,,7446788,575934465,5,572272641,5000,0
369131301,,NaN,5,2,NaN,2,1024,0,15,NaN,,,,7446789,575934465,5,572272641,10000,0
369131558,,NaN,6,2,NaN,2,1024,0,15,NaN,,,,7446790,575934465,5,572272641,10000,0
369131815,,NaN,7,2,NaN,2,1024,0,15,NaN,,,,7446791,575934465,10,572272641,10000,0
369132072,,NaN,8,2,NaN,2,1024,0,15,NaN,,,,7446792,575934465,10,572272641,10000,0
369132329,,NaN,9,2,NaN,2,1024,0,15,NaN,,,,7446793,575934465,10,572272641,10000,0
369132586,,NaN,10,2,NaN,2,1024,0,15,NaN,,,,7446794,575934465,15,572272641,15000,0
369132817,,NaN,1,1,NaN,3,1024,0,15,NaN,,,,7708929,0,0,0,0,0
369133073,,NaN,1,1,NaN,2,1024,0,15,NaN,,,,7672065,575934465,2,572272641,5000,0
369133330,,NaN,2,1,NaN,2,1024,0,15,NaN,,,,7672066,575934465,2,572272641,5000,0
369133587,,NaN,3,1,NaN,2,1024,0,15,NaN,,,,7672067,575934465,2,572272641,5000,0
369133844,,NaN,4,1,NaN,2,1024,0,15,NaN,,,,7672068,575934465,5,572272641,5000,0
369134101,,NaN,5,1,NaN,2,1024,0,15,NaN,,,,7672069,575934465,5,572272641,10000,0
369134358,,NaN,6,1,NaN,2,1024,0,15,NaN,,,,7672070,575934465,5,572272641,10000,0
369134615,,NaN,7,1,NaN,2,1024,0,15,NaN,,,,7672071,575934465,10,572272641,10000,0
369134872,,NaN,8,1,NaN,2,1024,0,15,NaN,,,,7672072,575934465,10,572272641,10000,0
369135129,,NaN,9,1,NaN,2,1024,0,15,NaN,,,,7672073,575934465,10,572272641,10000,0
369135386,,NaN,10,1,NaN,2,1024,0,15,NaN,,,,7672074,575934465,15,572272641,15000,0
369135649,,NaN,1,2,NaN,2,1024,0,15,NaN,,,,7680257,575934465,2,572272641,5000,0
369135906,,NaN,2,2,NaN,2,1024,0,15,NaN,,,,7680258,575934465,2,572272641,5000,0
369136163,,NaN,3,2,NaN,2,1024,0,15,NaN,,,,7680259,575934465,2,572272641,5000,0
369136420,,NaN,4,2,NaN,2,1024,0,15,NaN,,,,7680260,575934465,5,572272641,5000,0
369136677,,NaN,5,2,NaN,2,1024,0,15,NaN,,,,7680261,575934465,5,572272641,10000,0
369136934,,NaN,6,2,NaN,2,1024,0,15,NaN,,,,7680262,575934465,5,572272641,10000,0
369137191,,NaN,7,2,NaN,2,1024,0,15,NaN,,,,7680263,575934465,10,572272641,10000,0
