PrimaryKey,NameKey,DescKey,Group,Order,SelectionType,SelectionFactor,Skill
385875969,NaN,NaN,4,1,0,1,369103377
385875970,NaN,NaN,4,2,0,3,369103377
385875971,NaN,NaN,6,1,1,0,369099793
385875972,NaN,NaN,7,1,0,1,369103633
385875973,NaN,NaN,8,1,1,0,369100049
385875974,NaN,NaN,8,2,1,0,369100049
385875975,NaN,NaN,10,1,0,1,369103633
385875976,NaN,NaN,11,1,1,0,369100305
385875977,NaN,NaN,11,2,1,0,369100305
385875978,NaN,NaN,11,3,1,0,369100305
385875979,NaN,NaN,14,1,0,1,369099025
385875980,NaN,NaN,15,1,1,0,369100561
385875981,NaN,NaN,15,2,1,0,369100561
385875982,NaN,NaN,15,3,1,0,369100561
385875983,NaN,NaN,18,1,0,1,369099281
385875984,NaN,NaN,18,2,0,1,369099025
385875985,NaN,NaN,20,1,1,0,369100561
385875986,NaN,NaN,20,2,1,0,369100561
385875987,NaN,NaN,20,3,1,0,369100561
385875988,NaN,NaN,23,1,0,1,369099281
385875989,NaN,NaN,23,2,0,2,369099537
385875990,NaN,NaN,25,1,1,0,369101073
385875991,NaN,NaN,25,2,1,0,369101073
385875992,NaN,NaN,25,3,1,0,369101073
385875993,NaN,NaN,25,4,1,0,369101073
385875994,NaN,NaN,29,1,0,1,369102865
385875995,NaN,NaN,30,1,1,0,369103121
385875996,NaN,NaN,31,1,1,0,369101073
385875997,NaN,NaN,31,2,1,0,369101073
385875998,NaN,NaN,31,3,1,0,369101073
385875999,NaN,NaN,31,4,1,0,369101073
385876000,NaN,NaN,35,1,0,1,369102609
385876001,NaN,NaN,36,1,1,0,369101073
385876002,NaN,NaN,36,2,1,0,369101073
385876003,NaN,NaN,36,3,1,0,369101073
385876004,NaN,NaN,36,4,1,0,369101073
385876005,NaN,NaN,36,5,1,0,369101841
385876006,NaN,NaN,41,1,0,1,369102609
385876007,NaN,NaN,41,2,0,1,369102865
385876008,NaN,NaN,43,1,1,0,369103121
385876009,NaN,NaN,44,1,1,0,369101073
385876010,NaN,NaN,44,2,1,0,369101073
385876011,NaN,NaN,44,3,1,0,369101073
385876012,NaN,NaN,44,4,1,0,369101073
385876013,NaN,NaN,44,5,1,0,369101841
385876014,NaN,NaN,49,1,0,2,369102609
385876015,NaN,NaN,49,2,0,1,369102865
385876016,NaN,NaN,51,1,1,0,369103121
385876017,NaN,NaN,52,1,1,0,369101073
385876018,NaN,NaN,52,2,1,0,369101073
385876019,NaN,NaN,52,3,1,0,369101073
385876020,NaN,NaN,52,4,1,0,369101073
385876021,NaN,NaN,52,5,1,0,369101073
385876022,NaN,NaN,52,6,1,0,369102097
385876023,NaN,NaN,58,1,0,1,369102609
