PrimaryKey,Level,Exp
33554433,1,65
33554434,2,76
33554435,3,90
33554436,4,106
33554437,5,124
33554438,6,144
33554439,7,164
33554440,8,186
33554441,9,209
33554442,10,233
33554443,11,258
33554444,12,284
33554445,13,311
33554446,14,339
33554447,15,368
33554448,16,397
33554449,17,427
33554450,18,458
33554451,19,489
33554452,20,522
33554453,21,554
33554454,22,588
33554455,23,622
33554456,24,656
33554457,25,692
33554458,26,727
33554459,27,764
33554460,28,801
33554461,29,838
33554462,30,876
33554463,31,915
33554464,32,954
33554465,33,993
33554466,34,1033
33554467,35,1073
33554468,36,1114
33554469,37,1155
33554470,38,1197
33554471,39,1239
33554472,40,1282
33554473,41,1325
33554474,42,1369
33554475,43,1413
33554476,44,1457
33554477,45,1502
33554478,46,1547
33554479,47,1592
33554480,48,1638
33554481,49,1684
33554482,50,1731
